Wall time,Step,Value
1595377282.913324,101.0,22.86584854125977
1595377400.3005445,102.0,39.58950805664063
1595377518.1188462,103.0,55.7525520324707
1595377636.352228,104.0,71.66468811035156
1595377755.4225235,105.0,88.87398529052734
1595377873.0527875,106.0,105.6778564453125
1595377992.4197724,107.0,123.0597915649414
1595378110.0295498,108.0,141.59881591796875
1595378227.8028414,109.0,160.81561279296875
1595378345.5932038,110.0,181.6987762451172
1595378463.7565384,111.0,202.3522491455078
1595378581.6948388,112.0,224.6415100097656
1595378699.918473,113.0,247.51998901367188
1595378816.5055969,114.0,271.38787841796875
1595378934.5646827,115.0,295.6231384277344
1595379052.5824707,116.0,320.21441650390625
1595379170.6909764,117.0,346.97064208984375
1595379288.2903824,118.0,374.0559387207031
1595379406.4568832,119.0,400.7887573242188
1595379524.8370752,120.0,428.3786315917969
1595379642.3330498,121.0,455.3222351074219
1595379760.8522947,122.0,483.1920471191406
1595379879.112655,123.0,509.9794921875
1595379997.4685948,124.0,537.7337646484375
1595380115.3594944,125.0,565.6740112304688
1595380233.7707837,126.0,593.7246704101562
1595380351.649699,127.0,621.0523071289062
1595380470.6274269,128.0,648.5663452148438
1595380589.7647069,129.0,675.1424560546875
1595380707.3743484,130.0,701.0999755859375
1595380823.5047386,131.0,726.3748168945312
1595380941.2584069,132.0,751.1487426757812
1595381058.9172695,133.0,775.806640625
1595381176.7707875,134.0,799.4825439453125
1595381294.989776,135.0,822.7509155273438
1595381412.7219894,136.0,845.0292358398438
1595381531.2310884,137.0,866.5241088867188
1595381649.1326034,138.0,887.2554321289062
1595381766.7963207,139.0,907.8115234375
1595381884.7343113,140.0,928.2152709960938
1595382003.203636,141.0,947.2283325195312
1595382121.2346964,142.0,965.2088623046876
1595382240.137864,143.0,982.6820068359376
1595382358.5410807,144.0,999.8403930664062
1595382475.1412027,145.0,1016.6878051757812
1595382592.7660282,146.0,1032.15771484375
1595382709.9021742,147.0,1048.387451171875
1595382828.6132624,148.0,1062.4075927734377
1595382947.0093346,149.0,1077.135498046875
1595383064.7064931,150.0,1091.617919921875
1595383182.0825622,151.0,1106.07080078125
1595383298.8572865,152.0,1119.78857421875
1595383416.1421928,153.0,1132.6646728515625
1595383533.6883304,154.0,1144.7098388671875
1595383651.2447875,155.0,1156.762451171875
1595383769.0628788,156.0,1169.3125
1595383888.6523812,157.0,1180.0577392578125
1595384006.3289182,158.0,1191.2435302734375
1595384123.230796,159.0,1202.292724609375
1595384242.287506,160.0,1213.1478271484375
1595384360.4618542,161.0,1221.9482421875
1595384478.0373898,162.0,1232.573486328125
1595384596.6031325,163.0,1242.1356201171875
1595384713.8404734,164.0,1251.234375
1595384831.0679152,165.0,1261.66943359375
1595384950.027935,166.0,1270.0338134765625
1595385068.798257,167.0,1278.18896484375
1595385185.6696036,168.0,1286.6832275390625
1595385303.3506842,169.0,1295.2105712890625
1595385421.038619,170.0,1302.920166015625
1595385539.9203186,171.0,1311.792724609375
1595385657.9745367,172.0,1318.444091796875
1595385776.2058742,173.0,1326.2955322265625
1595385894.781499,174.0,1333.3167724609375
1595386012.9335606,175.0,1339.6307373046875
1595386131.2239964,176.0,1346.37939453125
1595386249.2853901,177.0,1352.26220703125
1595386368.175246,178.0,1357.803955078125
1595386486.0398302,179.0,1364.3660888671875
1595386603.3854306,180.0,1370.4268798828125
1595386720.9498575,181.0,1376.011474609375
1595386838.8314068,182.0,1382.201416015625
1595386957.9729645,183.0,1388.1663818359375
1595387076.472605,184.0,1393.6329345703125
1595387195.0420597,185.0,1397.9385986328125
