Wall time,Step,Value
1595402630.0426967,1.0,53.86653900146485
1595402702.5790527,2.0,53.99836730957031
1595402775.1925805,3.0,54.2850227355957
1595402848.2101128,4.0,54.24130249023438
1595402920.1374295,5.0,53.72070693969727
1595402992.7598631,6.0,54.02965927124024
1595403064.4899323,7.0,54.01316452026367
1595403137.444041,8.0,54.29454803466797
1595403210.063796,9.0,54.18785095214844
1595403282.750104,10.0,54.31525039672852
1595403356.2986176,11.0,54.22360610961914
1595403429.1637814,12.0,54.53942108154297
1595403501.713583,13.0,54.30755996704102
1595403575.1029804,14.0,54.60417938232422
1595403648.2329388,15.0,54.23068237304688
1595403721.4309928,16.0,54.10619354248047
1595403794.2674458,17.0,54.63693237304688
1595403867.0050335,18.0,54.64325714111328
1595403939.7461407,19.0,54.55713272094727
1595404012.7010489,20.0,54.126686096191406
1595404084.8502128,21.0,54.27268981933594
1595404157.9704525,22.0,54.51464462280274
1595404231.5092266,23.0,54.46240234375
1595404304.3915513,24.0,54.08613586425781
1595404377.834286,25.0,54.35070037841797
1595404450.2798414,26.0,54.007728576660156
1595404523.3655539,27.0,54.298622131347656
1595404596.4686973,28.0,54.52348327636719
1595404670.2031796,29.0,54.54918670654297
1595404743.9770243,30.0,54.30122375488281
1595404817.2251482,31.0,54.14289474487305
1595404890.392456,32.0,54.26048278808594
1595404964.792763,33.0,54.66456604003906
1595405037.5843914,34.0,54.20463562011719
1595405110.4907591,35.0,54.07867431640625
1595405183.473499,36.0,54.54843521118164
1595405256.1376095,37.0,54.39779281616211
1595405328.4085147,38.0,53.91927337646485
1595405401.5441027,39.0,54.61911392211914
1595405474.867054,40.0,54.643714904785156
1595405547.424163,41.0,54.42489624023438
1595405619.876895,42.0,54.46554565429688
1595405693.616583,43.0,54.51638412475586
1595405766.4610903,44.0,54.69578170776367
1595405839.720937,45.0,54.73927307128906
1595405913.0444505,46.0,54.40153503417969
1595405985.9043682,47.0,54.344627380371094
1595406059.8940506,48.0,54.26147079467773
1595406133.3565214,49.0,54.35054397583008
1595406207.606619,50.0,54.36454772949219
1595406281.02764,51.0,54.13566207885742
1595406353.8095772,52.0,54.5201416015625
1595406427.0485528,53.0,54.3697509765625
1595406500.1990001,54.0,54.15581512451172
1595406572.842492,55.0,54.328514099121094
1595406645.5958822,56.0,54.35531234741211
1595406718.1181955,57.0,54.33721542358398
1595406791.947829,58.0,54.60663986206055
1595406865.9565945,59.0,54.65406036376953
1595406940.0862396,60.0,54.51936340332031
1595407013.2515528,61.0,54.7901725769043
1595407087.1876495,62.0,54.72940444946289
1595407160.1377199,63.0,54.312904357910156
1595407232.9659321,64.0,54.32626342773438
