Wall Time, Step, Value
1.594209775740238905e+09,1.010000000000000000e+02,2.068849372863769531e+01
1.594209866243063211e+09,1.020000000000000000e+02,3.450918579101562500e+01
1.594209955640709877e+09,1.030000000000000000e+02,4.611628341674804688e+01
1.594210045082077742e+09,1.040000000000000000e+02,5.656226730346679688e+01
1.594210134794343948e+09,1.050000000000000000e+02,6.571364593505859375e+01
1.594210223929939985e+09,1.060000000000000000e+02,7.382994842529296875e+01
1.594210313758148909e+09,1.070000000000000000e+02,8.074243164062500000e+01
1.594210403173649073e+09,1.080000000000000000e+02,8.848178100585937500e+01
1.594210492953102827e+09,1.090000000000000000e+02,9.546955871582031250e+01
1.594210582263175964e+09,1.100000000000000000e+02,1.012917556762695312e+02
1.594210671823098183e+09,1.110000000000000000e+02,1.074000015258789062e+02
1.594210761729293823e+09,1.120000000000000000e+02,1.132110519409179688e+02
1.594210851811194658e+09,1.130000000000000000e+02,1.191879501342773438e+02
1.594210941083641768e+09,1.140000000000000000e+02,1.243807373046875000e+02
1.594211030997406006e+09,1.150000000000000000e+02,1.299131317138671875e+02
1.594211120451773882e+09,1.160000000000000000e+02,1.348699493408203125e+02
1.594211210200944185e+09,1.170000000000000000e+02,1.400843963623046875e+02
1.594211298987704277e+09,1.180000000000000000e+02,1.452362365722656250e+02
1.594211388671170473e+09,1.190000000000000000e+02,1.503894805908203125e+02
1.594211479276952505e+09,1.200000000000000000e+02,1.550349426269531250e+02
1.594211568004901171e+09,1.210000000000000000e+02,1.595395202636718750e+02
1.594211656892897844e+09,1.220000000000000000e+02,1.641530151367187500e+02
1.594211747838582993e+09,1.230000000000000000e+02,1.682692108154296875e+02
1.594211836381348372e+09,1.240000000000000000e+02,1.733357543945312500e+02
1.594211925359237909e+09,1.250000000000000000e+02,1.779776458740234375e+02
1.594212014689087152e+09,1.260000000000000000e+02,1.822619476318359375e+02
1.594212102966714621e+09,1.270000000000000000e+02,1.861227416992187500e+02
1.594212192808078051e+09,1.280000000000000000e+02,1.898190460205078125e+02
1.594212282160920382e+09,1.290000000000000000e+02,1.935064697265625000e+02
1.594212372036642075e+09,1.300000000000000000e+02,1.985470123291015625e+02
1.594212460900649071e+09,1.310000000000000000e+02,2.021814727783203125e+02
1.594212550935374498e+09,1.320000000000000000e+02,2.062611694335937500e+02
1.594212640282537699e+09,1.330000000000000000e+02,2.099159088134765625e+02
1.594212729999934435e+09,1.340000000000000000e+02,2.131560668945312500e+02
1.594212818878884077e+09,1.350000000000000000e+02,2.167423553466796875e+02
1.594212908424323797e+09,1.360000000000000000e+02,2.204691467285156250e+02
1.594212997841240644e+09,1.370000000000000000e+02,2.240069580078125000e+02
1.594213087799702883e+09,1.380000000000000000e+02,2.277772369384765625e+02
1.594213178007182121e+09,1.390000000000000000e+02,2.315686950683593750e+02
1.594213267679064989e+09,1.400000000000000000e+02,2.350145874023437500e+02
1.594213358425235033e+09,1.410000000000000000e+02,2.390988464355468750e+02
1.594213447978936911e+09,1.420000000000000000e+02,2.427793273925781250e+02
1.594213537938555479e+09,1.430000000000000000e+02,2.460615692138671875e+02
1.594213626874290705e+09,1.440000000000000000e+02,2.491518402099609375e+02
1.594213717092332840e+09,1.450000000000000000e+02,2.528342742919921875e+02
1.594213805635060549e+09,1.460000000000000000e+02,2.555278472900390625e+02
1.594213894592667818e+09,1.470000000000000000e+02,2.590825500488281250e+02
1.594213983674460173e+09,1.480000000000000000e+02,2.622862243652343750e+02
1.594214073290921926e+09,1.490000000000000000e+02,2.656433410644531250e+02
1.594214162682392836e+09,1.500000000000000000e+02,2.690763549804687500e+02
1.594214252186871767e+09,1.510000000000000000e+02,2.731643066406250000e+02
1.594214342005818605e+09,1.520000000000000000e+02,2.762938537597656250e+02
1.594214431468888283e+09,1.530000000000000000e+02,2.799404296875000000e+02
1.594214521189240217e+09,1.540000000000000000e+02,2.825864257812500000e+02
1.594214611114442587e+09,1.550000000000000000e+02,2.866593017578125000e+02
1.594214700877763748e+09,1.560000000000000000e+02,2.892388305664062500e+02
1.594214790405932665e+09,1.570000000000000000e+02,2.924788818359375000e+02
1.594214879587113142e+09,1.580000000000000000e+02,2.955258483886718750e+02
1.594214968964859724e+09,1.590000000000000000e+02,2.983267517089843750e+02
1.594215058995592356e+09,1.600000000000000000e+02,3.012300109863281250e+02
1.594215148214655638e+09,1.610000000000000000e+02,3.049925842285156250e+02
1.594215237739825964e+09,1.620000000000000000e+02,3.078504028320312500e+02
1.594215327799326658e+09,1.630000000000000000e+02,3.108860168457031250e+02
1.594215416506977797e+09,1.640000000000000000e+02,3.141803283691406250e+02
1.594215505191897631e+09,1.650000000000000000e+02,3.170779724121093750e+02
1.594215594291182280e+09,1.660000000000000000e+02,3.204945983886718750e+02
1.594215683408739805e+09,1.670000000000000000e+02,3.238280029296875000e+02
1.594215774156724930e+09,1.680000000000000000e+02,3.263277893066406250e+02
1.594215864322119474e+09,1.690000000000000000e+02,3.287854309082031250e+02
1.594215954413641691e+09,1.700000000000000000e+02,3.317130432128906250e+02
1.594216044326744080e+09,1.710000000000000000e+02,3.344222106933593750e+02
1.594216134135681868e+09,1.720000000000000000e+02,3.379189453125000000e+02
1.594216223962115049e+09,1.730000000000000000e+02,3.408285217285156250e+02
1.594216313958907366e+09,1.740000000000000000e+02,3.435194702148437500e+02
1.594216403744828463e+09,1.750000000000000000e+02,3.463636169433593750e+02
1.594216493558429718e+09,1.760000000000000000e+02,3.499965820312500000e+02
1.594216583020571947e+09,1.770000000000000000e+02,3.521257934570312500e+02
1.594216672285784721e+09,1.780000000000000000e+02,3.547760925292968750e+02
1.594216762269802094e+09,1.790000000000000000e+02,3.579681091308593750e+02
1.594216852018621683e+09,1.800000000000000000e+02,3.592092590332031250e+02
1.594216941453260183e+09,1.810000000000000000e+02,3.613100891113281250e+02
1.594217032217339754e+09,1.820000000000000000e+02,3.638804626464843750e+02
1.594217121637545347e+09,1.830000000000000000e+02,3.661018066406250000e+02
1.594217211699765444e+09,1.840000000000000000e+02,3.682175903320312500e+02
1.594217301663254499e+09,1.850000000000000000e+02,3.706264038085937500e+02
1.594217390754072905e+09,1.860000000000000000e+02,3.736368408203125000e+02
1.594217481008287430e+09,1.870000000000000000e+02,3.759437866210937500e+02
1.594217571004037142e+09,1.880000000000000000e+02,3.781994934082031250e+02
1.594217661697251320e+09,1.890000000000000000e+02,3.810968017578125000e+02
1.594217751568757057e+09,1.900000000000000000e+02,3.835542907714843750e+02
1.594217841272891045e+09,1.910000000000000000e+02,3.864947509765625000e+02
1.594217930574023008e+09,1.920000000000000000e+02,3.890629272460937500e+02
1.594218019575430632e+09,1.930000000000000000e+02,3.918076171875000000e+02
