Wall Time, Step, Value
1.594268266722398043e+09,1.010000000000000000e+02,1.248066425323486328e+01
1.594268338469513178e+09,1.020000000000000000e+02,2.043211746215820312e+01
1.594268409079727411e+09,1.030000000000000000e+02,2.722404098510742188e+01
1.594268481014118910e+09,1.040000000000000000e+02,3.268906784057617188e+01
1.594268552243533850e+09,1.050000000000000000e+02,3.833224105834960938e+01
1.594268624037437201e+09,1.060000000000000000e+02,4.317510223388671875e+01
1.594268695851038933e+09,1.070000000000000000e+02,4.733949279785156250e+01
1.594268767736178637e+09,1.080000000000000000e+02,5.148709869384765625e+01
1.594268839760198355e+09,1.090000000000000000e+02,5.508766937255859375e+01
1.594268911574937820e+09,1.100000000000000000e+02,5.887523269653320312e+01
1.594268984291590929e+09,1.110000000000000000e+02,6.250016784667968750e+01
1.594269056040705919e+09,1.120000000000000000e+02,6.586820220947265625e+01
1.594269127650511980e+09,1.130000000000000000e+02,6.880950927734375000e+01
1.594269198473277807e+09,1.140000000000000000e+02,7.242814636230468750e+01
1.594269269460391283e+09,1.150000000000000000e+02,7.477363586425781250e+01
1.594269340131167650e+09,1.160000000000000000e+02,7.740793609619140625e+01
1.594269412207392454e+09,1.170000000000000000e+02,8.059719848632812500e+01
1.594269483319147348e+09,1.180000000000000000e+02,8.324420166015625000e+01
1.594269553219482183e+09,1.190000000000000000e+02,8.594322204589843750e+01
1.594269624549691439e+09,1.200000000000000000e+02,8.855435180664062500e+01
1.594269696675688505e+09,1.210000000000000000e+02,9.145034027099609375e+01
1.594269768114526987e+09,1.220000000000000000e+02,9.431765747070312500e+01
1.594269839896289587e+09,1.230000000000000000e+02,9.662504577636718750e+01
1.594269910402064562e+09,1.240000000000000000e+02,9.883292388916015625e+01
1.594269981731331587e+09,1.250000000000000000e+02,1.007632141113281250e+02
1.594270052359716415e+09,1.260000000000000000e+02,1.030318908691406250e+02
1.594270123810878992e+09,1.270000000000000000e+02,1.050225296020507812e+02
1.594270195493556261e+09,1.280000000000000000e+02,1.073031311035156250e+02
1.594270267270920515e+09,1.290000000000000000e+02,1.097481765747070312e+02
1.594270338211500883e+09,1.300000000000000000e+02,1.116600799560546875e+02
1.594270409731709480e+09,1.310000000000000000e+02,1.139065322875976562e+02
1.594270480595561028e+09,1.320000000000000000e+02,1.162003631591796875e+02
1.594270550709508657e+09,1.330000000000000000e+02,1.184665527343750000e+02
1.594270621371089220e+09,1.340000000000000000e+02,1.205718002319335938e+02
1.594270691801907301e+09,1.350000000000000000e+02,1.229847183227539062e+02
1.594270763432112932e+09,1.360000000000000000e+02,1.253062057495117188e+02
1.594270834520649672e+09,1.370000000000000000e+02,1.272737884521484375e+02
1.594270905198054314e+09,1.380000000000000000e+02,1.291174621582031250e+02
1.594270975114375830e+09,1.390000000000000000e+02,1.310528564453125000e+02
1.594271045873275757e+09,1.400000000000000000e+02,1.328160858154296875e+02
1.594271117048473597e+09,1.410000000000000000e+02,1.348159790039062500e+02
1.594271188847431421e+09,1.420000000000000000e+02,1.367677459716796875e+02
1.594271260409286737e+09,1.430000000000000000e+02,1.386654357910156250e+02
1.594271330966155767e+09,1.440000000000000000e+02,1.407454986572265625e+02
1.594271401598212242e+09,1.450000000000000000e+02,1.428607482910156250e+02
1.594271473203840017e+09,1.460000000000000000e+02,1.446990661621093750e+02
1.594271543562046051e+09,1.470000000000000000e+02,1.467559661865234375e+02
1.594271614630473375e+09,1.480000000000000000e+02,1.486897888183593750e+02
1.594271684852173567e+09,1.490000000000000000e+02,1.507193298339843750e+02
1.594271755785077333e+09,1.500000000000000000e+02,1.523268432617187500e+02
1.594271826201377630e+09,1.510000000000000000e+02,1.537555847167968750e+02
1.594271896617201090e+09,1.520000000000000000e+02,1.560032958984375000e+02
1.594271967223816156e+09,1.530000000000000000e+02,1.575507354736328125e+02
1.594272038634819984e+09,1.540000000000000000e+02,1.600313415527343750e+02
1.594272109488205194e+09,1.550000000000000000e+02,1.616242370605468750e+02
1.594272180396712065e+09,1.560000000000000000e+02,1.635889739990234375e+02
1.594272252220732927e+09,1.570000000000000000e+02,1.656994934082031250e+02
1.594272324004910707e+09,1.580000000000000000e+02,1.669709930419921875e+02
1.594272395744829416e+09,1.590000000000000000e+02,1.689129486083984375e+02
1.594272467770102739e+09,1.600000000000000000e+02,1.706525726318359375e+02
1.594272538898326635e+09,1.610000000000000000e+02,1.720292816162109375e+02
1.594272609910818815e+09,1.620000000000000000e+02,1.734853973388671875e+02
1.594272681842101097e+09,1.630000000000000000e+02,1.755775451660156250e+02
1.594272753204939127e+09,1.640000000000000000e+02,1.773654632568359375e+02
1.594272824212975740e+09,1.650000000000000000e+02,1.793303680419921875e+02
1.594272894944971800e+09,1.660000000000000000e+02,1.809400787353515625e+02
1.594272965865134239e+09,1.670000000000000000e+02,1.824266357421875000e+02
1.594273038014252901e+09,1.680000000000000000e+02,1.835043029785156250e+02
1.594273108529863119e+09,1.690000000000000000e+02,1.849277343750000000e+02
1.594273179465770006e+09,1.700000000000000000e+02,1.865490112304687500e+02
1.594273250677796125e+09,1.710000000000000000e+02,1.885418853759765625e+02
1.594273321652444124e+09,1.720000000000000000e+02,1.898184967041015625e+02
1.594273392500843048e+09,1.730000000000000000e+02,1.917960205078125000e+02
1.594273464342346907e+09,1.740000000000000000e+02,1.936992187500000000e+02
1.594273535301437616e+09,1.750000000000000000e+02,1.952109985351562500e+02
1.594273606312572479e+09,1.760000000000000000e+02,1.969484863281250000e+02
1.594273677905302048e+09,1.770000000000000000e+02,1.989624023437500000e+02
1.594273749342820406e+09,1.780000000000000000e+02,2.007401885986328125e+02
1.594273820384239435e+09,1.790000000000000000e+02,2.023587799072265625e+02
1.594273891147105455e+09,1.800000000000000000e+02,2.038994903564453125e+02
1.594273963522655725e+09,1.810000000000000000e+02,2.051259155273437500e+02
1.594274034984027624e+09,1.820000000000000000e+02,2.056326446533203125e+02
1.594274105896462679e+09,1.830000000000000000e+02,2.069058837890625000e+02
1.594274176306793928e+09,1.840000000000000000e+02,2.080960998535156250e+02
1.594274246923383713e+09,1.850000000000000000e+02,2.097967681884765625e+02
1.594274317514588356e+09,1.860000000000000000e+02,2.116066284179687500e+02
1.594274388828312159e+09,1.870000000000000000e+02,2.128788299560546875e+02
1.594274459601152182e+09,1.880000000000000000e+02,2.145488128662109375e+02
1.594274530544869184e+09,1.890000000000000000e+02,2.161213531494140625e+02
1.594274601958598137e+09,1.900000000000000000e+02,2.179458770751953125e+02
1.594274673036439180e+09,1.910000000000000000e+02,2.192872009277343750e+02
1.594274743783315420e+09,1.920000000000000000e+02,2.209334869384765625e+02
1.594274815459103584e+09,1.930000000000000000e+02,2.225728912353515625e+02
1.594274886162994623e+09,1.940000000000000000e+02,2.240371856689453125e+02
1.594274957067452192e+09,1.950000000000000000e+02,2.261154174804687500e+02
1.594275027588998079e+09,1.960000000000000000e+02,2.276016387939453125e+02
1.594275099372275591e+09,1.970000000000000000e+02,2.290124969482421875e+02
1.594275170453436613e+09,1.980000000000000000e+02,2.304112396240234375e+02
1.594275241752340555e+09,1.990000000000000000e+02,2.311622161865234375e+02
1.594275312223021746e+09,2.000000000000000000e+02,2.327341918945312500e+02
