Wall Time, Step, Value
1.594209775544143438e+09,1.010000000000000000e+02,2.233259773254394531e+01
1.594209885802338600e+09,1.020000000000000000e+02,4.030863189697265625e+01
1.594209996390757322e+09,1.030000000000000000e+02,5.707082748413085938e+01
1.594210107094184160e+09,1.040000000000000000e+02,7.351071166992187500e+01
1.594210218119963884e+09,1.050000000000000000e+02,8.962995910644531250e+01
1.594210328359861135e+09,1.060000000000000000e+02,1.061111679077148438e+02
1.594210438461432219e+09,1.070000000000000000e+02,1.241049499511718750e+02
1.594210548630010843e+09,1.080000000000000000e+02,1.420696563720703125e+02
1.594210658653914213e+09,1.090000000000000000e+02,1.609910125732421875e+02
1.594210768423626184e+09,1.100000000000000000e+02,1.816458587646484375e+02
1.594210877899233103e+09,1.110000000000000000e+02,2.024482727050781250e+02
1.594210989180140734e+09,1.120000000000000000e+02,2.238038177490234375e+02
1.594211099837072611e+09,1.130000000000000000e+02,2.467421112060546875e+02
1.594211209855424166e+09,1.140000000000000000e+02,2.711026000976562500e+02
1.594211319599020720e+09,1.150000000000000000e+02,2.953163452148437500e+02
1.594211429645463228e+09,1.160000000000000000e+02,3.200104980468750000e+02
1.594211539654471397e+09,1.170000000000000000e+02,3.463589782714843750e+02
1.594211650556987047e+09,1.180000000000000000e+02,3.726078186035156250e+02
1.594211761383975267e+09,1.190000000000000000e+02,3.992094726562500000e+02
1.594211871664159060e+09,1.200000000000000000e+02,4.270180969238281250e+02
1.594211982046706200e+09,1.210000000000000000e+02,4.548926086425781250e+02
1.594212093130648375e+09,1.220000000000000000e+02,4.823958435058593750e+02
1.594212203931511641e+09,1.230000000000000000e+02,5.102374267578125000e+02
1.594212314470675707e+09,1.240000000000000000e+02,5.381492309570312500e+02
1.594212424732441664e+09,1.250000000000000000e+02,5.657167968750000000e+02
1.594212534796554565e+09,1.260000000000000000e+02,5.931968994140625000e+02
1.594212644683425188e+09,1.270000000000000000e+02,6.208937988281250000e+02
1.594212756258852720e+09,1.280000000000000000e+02,6.481477661132812500e+02
1.594212866909100533e+09,1.290000000000000000e+02,6.745482177734375000e+02
1.594212977439786196e+09,1.300000000000000000e+02,7.003878173828125000e+02
1.594213087053923845e+09,1.310000000000000000e+02,7.256095581054687500e+02
1.594213199006612062e+09,1.320000000000000000e+02,7.506013183593750000e+02
1.594213309435752630e+09,1.330000000000000000e+02,7.749103393554687500e+02
1.594213419399195433e+09,1.340000000000000000e+02,7.990857543945312500e+02
1.594213530297919035e+09,1.350000000000000000e+02,8.226428222656250000e+02
1.594213641525016546e+09,1.360000000000000000e+02,8.450697631835937500e+02
1.594213753042926550e+09,1.370000000000000000e+02,8.667435302734375000e+02
1.594213864524317503e+09,1.380000000000000000e+02,8.885537719726562500e+02
1.594213973930897951e+09,1.390000000000000000e+02,9.086921997070312500e+02
1.594214084022281408e+09,1.400000000000000000e+02,9.277452392578125000e+02
1.594214194425020933e+09,1.410000000000000000e+02,9.469448852539062500e+02
1.594214304880182981e+09,1.420000000000000000e+02,9.654205932617187500e+02
1.594214415435120583e+09,1.430000000000000000e+02,9.838829956054687500e+02
1.594214525704802275e+09,1.440000000000000000e+02,1.001266296386718750e+03
1.594214637041184664e+09,1.450000000000000000e+02,1.018412475585937500e+03
1.594214747902848005e+09,1.460000000000000000e+02,1.035134521484375000e+03
1.594214858413666964e+09,1.470000000000000000e+02,1.050982055664062500e+03
1.594214968608586073e+09,1.480000000000000000e+02,1.065420410156250000e+03
1.594215079174645424e+09,1.490000000000000000e+02,1.080153320312500000e+03
1.594215190141888857e+09,1.500000000000000000e+02,1.094123168945312500e+03
1.594215301164060831e+09,1.510000000000000000e+02,1.107948242187500000e+03
1.594215411572746515e+09,1.520000000000000000e+02,1.121379638671875000e+03
1.594215522112327576e+09,1.530000000000000000e+02,1.133859741210937500e+03
1.594215632173463821e+09,1.540000000000000000e+02,1.145488769531250000e+03
1.594215742024774313e+09,1.550000000000000000e+02,1.157197753906250000e+03
1.594215852694061518e+09,1.560000000000000000e+02,1.168371215820312500e+03
