Wall Time, Step, Value
1.594400847866928816e+09,1.010000000000000000e+02,1.315855598449707031e+01
1.594400928370404243e+09,1.020000000000000000e+02,2.326556587219238281e+01
1.594401008255751371e+09,1.030000000000000000e+02,3.275520706176757812e+01
1.594401088417681694e+09,1.040000000000000000e+02,4.198960876464843750e+01
1.594401168151046515e+09,1.050000000000000000e+02,5.162456893920898438e+01
1.594401248094742775e+09,1.060000000000000000e+02,6.161186599731445312e+01
1.594401327852307081e+09,1.070000000000000000e+02,7.146843719482421875e+01
1.594401408693504333e+09,1.080000000000000000e+02,8.212652587890625000e+01
1.594401489232960939e+09,1.090000000000000000e+02,9.331719207763671875e+01
1.594401569168197632e+09,1.100000000000000000e+02,1.053251647949218750e+02
1.594401648534245253e+09,1.110000000000000000e+02,1.179476318359375000e+02
1.594401729008410692e+09,1.120000000000000000e+02,1.316902923583984375e+02
1.594401809234147310e+09,1.130000000000000000e+02,1.457354888916015625e+02
1.594401889727539301e+09,1.140000000000000000e+02,1.603153686523437500e+02
1.594401969711210251e+09,1.150000000000000000e+02,1.761862487792968750e+02
1.594402049628283262e+09,1.160000000000000000e+02,1.922990264892578125e+02
1.594402130365146875e+09,1.170000000000000000e+02,2.087997436523437500e+02
1.594402210775361061e+09,1.180000000000000000e+02,2.268887023925781250e+02
1.594402291066690207e+09,1.190000000000000000e+02,2.454741058349609375e+02
1.594402371930885553e+09,1.200000000000000000e+02,2.653227844238281250e+02
1.594402452348052263e+09,1.210000000000000000e+02,2.852448730468750000e+02
1.594402533152580023e+09,1.220000000000000000e+02,3.059111938476562500e+02
1.594402613720516443e+09,1.230000000000000000e+02,3.265384826660156250e+02
1.594402693469805479e+09,1.240000000000000000e+02,3.478351745605468750e+02
1.594402773282470465e+09,1.250000000000000000e+02,3.696494445800781250e+02
1.594402854582918406e+09,1.260000000000000000e+02,3.920390930175781250e+02
1.594402935044376135e+09,1.270000000000000000e+02,4.143205566406250000e+02
1.594403015874161959e+09,1.280000000000000000e+02,4.366258239746093750e+02
1.594403096633389235e+09,1.290000000000000000e+02,4.585417480468750000e+02
1.594403176594754457e+09,1.300000000000000000e+02,4.806250305175781250e+02
