Wall Time, Step, Value
1.594214226590698242e+09,1.510000000000000000e+02,3.841526031494140625e+01
1.594214316363016367e+09,1.520000000000000000e+02,5.545906448364257812e+01
1.594214405692562819e+09,1.530000000000000000e+02,7.012470245361328125e+01
1.594214494290512800e+09,1.540000000000000000e+02,8.222447204589843750e+01
1.594214583597491026e+09,1.550000000000000000e+02,9.362195587158203125e+01
1.594214673035209894e+09,1.560000000000000000e+02,1.050441360473632812e+02
1.594214762732899427e+09,1.570000000000000000e+02,1.149389648437500000e+02
1.594214852533017159e+09,1.580000000000000000e+02,1.259530410766601562e+02
1.594214941421852827e+09,1.590000000000000000e+02,1.356449279785156250e+02
1.594215030989876032e+09,1.600000000000000000e+02,1.450276489257812500e+02
1.594215120656614065e+09,1.610000000000000000e+02,1.540843200683593750e+02
1.594215210330661058e+09,1.620000000000000000e+02,1.630260467529296875e+02
1.594215300778695107e+09,1.630000000000000000e+02,1.717293548583984375e+02
1.594215390672887087e+09,1.640000000000000000e+02,1.799356689453125000e+02
1.594215480676459074e+09,1.650000000000000000e+02,1.875746612548828125e+02
1.594215569618193865e+09,1.660000000000000000e+02,1.955681762695312500e+02
1.594215658659146070e+09,1.670000000000000000e+02,2.028804626464843750e+02
1.594215748057345629e+09,1.680000000000000000e+02,2.104469299316406250e+02
1.594215837474830389e+09,1.690000000000000000e+02,2.180094299316406250e+02
1.594215926765118361e+09,1.700000000000000000e+02,2.248385467529296875e+02
1.594216017227282763e+09,1.710000000000000000e+02,2.315327453613281250e+02
1.594216106054091215e+09,1.720000000000000000e+02,2.379429779052734375e+02
1.594216195173958540e+09,1.730000000000000000e+02,2.440610504150390625e+02
1.594216284791905165e+09,1.740000000000000000e+02,2.503742065429687500e+02
1.594216374762491226e+09,1.750000000000000000e+02,2.566590881347656250e+02
1.594216464258263588e+09,1.760000000000000000e+02,2.626394653320312500e+02
1.594216555336323738e+09,1.770000000000000000e+02,2.682644042968750000e+02
1.594216644626024008e+09,1.780000000000000000e+02,2.734901123046875000e+02
1.594216734262898445e+09,1.790000000000000000e+02,2.788815917968750000e+02
1.594216823449223757e+09,1.800000000000000000e+02,2.849169616699218750e+02
1.594216913751512527e+09,1.810000000000000000e+02,2.904620361328125000e+02
1.594217003594915152e+09,1.820000000000000000e+02,2.960769653320312500e+02
1.594217093281309843e+09,1.830000000000000000e+02,3.010335998535156250e+02
1.594217182740614891e+09,1.840000000000000000e+02,3.060518493652343750e+02
1.594217272590379000e+09,1.850000000000000000e+02,3.120852966308593750e+02
1.594217361671881914e+09,1.860000000000000000e+02,3.176762695312500000e+02
1.594217451029570341e+09,1.870000000000000000e+02,3.226043395996093750e+02
1.594217540691999674e+09,1.880000000000000000e+02,3.275694580078125000e+02
1.594217630271812677e+09,1.890000000000000000e+02,3.318720397949218750e+02
1.594217718940096617e+09,1.900000000000000000e+02,3.371782836914062500e+02
1.594217808394893646e+09,1.910000000000000000e+02,3.422090759277343750e+02
1.594217897670087576e+09,1.920000000000000000e+02,3.467379150390625000e+02
1.594217986942836046e+09,1.930000000000000000e+02,3.515841369628906250e+02
1.594218076686839342e+09,1.940000000000000000e+02,3.554416809082031250e+02
1.594218165562953234e+09,1.950000000000000000e+02,3.602846374511718750e+02
1.594218256383347750e+09,1.960000000000000000e+02,3.635971069335937500e+02
1.594218345200599909e+09,1.970000000000000000e+02,3.681213378906250000e+02
1.594218434268804312e+09,1.980000000000000000e+02,3.727635498046875000e+02
1.594218524464259386e+09,1.990000000000000000e+02,3.771176147460937500e+02
1.594218613134363890e+09,2.000000000000000000e+02,3.801790466308593750e+02
1.594218702903287172e+09,2.010000000000000000e+02,3.779873657226562500e+02
1.594218792198147535e+09,2.020000000000000000e+02,3.761954345703125000e+02
1.594218881361616850e+09,2.030000000000000000e+02,3.745483093261718750e+02
1.594218971429181099e+09,2.040000000000000000e+02,3.730331726074218750e+02
1.594219061179576159e+09,2.050000000000000000e+02,3.715908508300781250e+02
1.594219150232733011e+09,2.060000000000000000e+02,3.702428588867187500e+02
1.594219239137635231e+09,2.070000000000000000e+02,3.689026794433593750e+02
1.594219328581836939e+09,2.080000000000000000e+02,3.676197204589843750e+02
1.594219417938547373e+09,2.090000000000000000e+02,3.663625183105468750e+02
1.594219507242908716e+09,2.100000000000000000e+02,3.651560058593750000e+02
1.594219596784175158e+09,2.110000000000000000e+02,3.639517517089843750e+02
1.594219686333056450e+09,2.120000000000000000e+02,3.628294067382812500e+02
1.594219776645617723e+09,2.130000000000000000e+02,3.617167358398437500e+02
1.594219865454842329e+09,2.140000000000000000e+02,3.606439208984375000e+02
1.594219954384458542e+09,2.150000000000000000e+02,3.595746765136718750e+02
1.594220044314687014e+09,2.160000000000000000e+02,3.585561218261718750e+02
1.594220132800543547e+09,2.170000000000000000e+02,3.575424499511718750e+02
1.594220221834127665e+09,2.180000000000000000e+02,3.565530395507812500e+02
1.594220310505659103e+09,2.190000000000000000e+02,3.555921630859375000e+02
1.594220399732976198e+09,2.200000000000000000e+02,3.546506042480468750e+02
1.594220489015286207e+09,2.210000000000000000e+02,3.537442626953125000e+02
1.594220577784069777e+09,2.220000000000000000e+02,3.528515319824218750e+02
1.594220668067453623e+09,2.230000000000000000e+02,3.519931030273437500e+02
1.594220756119127274e+09,2.240000000000000000e+02,3.511347045898437500e+02
1.594220845355786562e+09,2.250000000000000000e+02,3.503005981445312500e+02
1.594220935128538370e+09,2.260000000000000000e+02,3.494884948730468750e+02
1.594221023914515734e+09,2.270000000000000000e+02,3.486675720214843750e+02
1.594221113090537310e+09,2.280000000000000000e+02,3.478882446289062500e+02
1.594221202223761559e+09,2.290000000000000000e+02,3.471149902343750000e+02
1.594221291624960661e+09,2.300000000000000000e+02,3.463730163574218750e+02
1.594221381271071196e+09,2.310000000000000000e+02,3.456410827636718750e+02
1.594221471276243210e+09,2.320000000000000000e+02,3.449580383300781250e+02
1.594221559648737192e+09,2.330000000000000000e+02,3.442769470214843750e+02
1.594221649886425257e+09,2.340000000000000000e+02,3.436047668457031250e+02
1.594221739740819931e+09,2.350000000000000000e+02,3.429555358886718750e+02
1.594221829105923891e+09,2.360000000000000000e+02,3.423377075195312500e+02
1.594221918648959398e+09,2.370000000000000000e+02,3.417090148925781250e+02
1.594222008656066179e+09,2.380000000000000000e+02,3.411337585449218750e+02
1.594222097430159807e+09,2.390000000000000000e+02,3.405323181152343750e+02
1.594222186935841560e+09,2.400000000000000000e+02,3.399969482421875000e+02
1.594222276402484655e+09,2.410000000000000000e+02,3.394386901855468750e+02
1.594222366399147987e+09,2.420000000000000000e+02,3.388793945312500000e+02
1.594222456282457352e+09,2.430000000000000000e+02,3.383356933593750000e+02
1.594222546171345949e+09,2.440000000000000000e+02,3.378157958984375000e+02
1.594222634938899994e+09,2.450000000000000000e+02,3.373236389160156250e+02
1.594222724113553047e+09,2.460000000000000000e+02,3.368349609375000000e+02
1.594222813865364313e+09,2.470000000000000000e+02,3.363706665039062500e+02
1.594222903719459772e+09,2.480000000000000000e+02,3.359403076171875000e+02
1.594222992829859495e+09,2.490000000000000000e+02,3.355063171386718750e+02
1.594223082221649885e+09,2.500000000000000000e+02,3.350519714355468750e+02
1.594223171786347628e+09,2.510000000000000000e+02,3.349956665039062500e+02
1.594223261006595850e+09,2.520000000000000000e+02,3.349420471191406250e+02
1.594223350633293152e+09,2.530000000000000000e+02,3.348924560546875000e+02
1.594223439869585991e+09,2.540000000000000000e+02,3.348425903320312500e+02
1.594223528459881783e+09,2.550000000000000000e+02,3.347956237792968750e+02
1.594223617516711950e+09,2.560000000000000000e+02,3.347468261718750000e+02
1.594223707321273088e+09,2.570000000000000000e+02,3.347018127441406250e+02
1.594223796825931549e+09,2.580000000000000000e+02,3.346531066894531250e+02
1.594223886783238411e+09,2.590000000000000000e+02,3.346068420410156250e+02
1.594223976674292803e+09,2.600000000000000000e+02,3.345608215332031250e+02
1.594224065642556906e+09,2.610000000000000000e+02,3.345139465332031250e+02
1.594224156058328867e+09,2.620000000000000000e+02,3.344684448242187500e+02
1.594224245468124628e+09,2.630000000000000000e+02,3.344213867187500000e+02
1.594224335341351271e+09,2.640000000000000000e+02,3.343767395019531250e+02
1.594224425015622377e+09,2.650000000000000000e+02,3.343327331542968750e+02
1.594224514539937019e+09,2.660000000000000000e+02,3.342869567871093750e+02
1.594224604798692703e+09,2.670000000000000000e+02,3.342415466308593750e+02
1.594224694797022104e+09,2.680000000000000000e+02,3.341983032226562500e+02
1.594224784825682402e+09,2.690000000000000000e+02,3.341538391113281250e+02
1.594224874905299425e+09,2.700000000000000000e+02,3.341094970703125000e+02
1.594224963983371496e+09,2.710000000000000000e+02,3.340679931640625000e+02
1.594225053987708330e+09,2.720000000000000000e+02,3.340242004394531250e+02
1.594225143744977236e+09,2.730000000000000000e+02,3.339826354980468750e+02
1.594225232897764921e+09,2.740000000000000000e+02,3.339376831054687500e+02
1.594225322265773058e+09,2.750000000000000000e+02,3.338930969238281250e+02
1.594225411704493284e+09,2.760000000000000000e+02,3.338500671386718750e+02
1.594225501188265800e+09,2.770000000000000000e+02,3.338081359863281250e+02
1.594225590960304022e+09,2.780000000000000000e+02,3.337651367187500000e+02
1.594225681174741507e+09,2.790000000000000000e+02,3.337234497070312500e+02
1.594225770961551428e+09,2.800000000000000000e+02,3.336818237304687500e+02
1.594225861092711210e+09,2.810000000000000000e+02,3.336393737792968750e+02
1.594225950682937860e+09,2.820000000000000000e+02,3.335994567871093750e+02
1.594226040465202570e+09,2.830000000000000000e+02,3.335552978515625000e+02
1.594226128862541914e+09,2.840000000000000000e+02,3.335134887695312500e+02
1.594226218794777155e+09,2.850000000000000000e+02,3.334728088378906250e+02
1.594226308357241392e+09,2.860000000000000000e+02,3.334321899414062500e+02
1.594226397758728743e+09,2.870000000000000000e+02,3.333919372558593750e+02
1.594226487270618200e+09,2.880000000000000000e+02,3.333487243652343750e+02
1.594226576562339544e+09,2.890000000000000000e+02,3.333092956542968750e+02
1.594226666605108976e+09,2.900000000000000000e+02,3.332709350585937500e+02
1.594226756101740122e+09,2.910000000000000000e+02,3.332317199707031250e+02
1.594226845356039286e+09,2.920000000000000000e+02,3.331918029785156250e+02
1.594226934374977827e+09,2.930000000000000000e+02,3.331517028808593750e+02
1.594227023238531113e+09,2.940000000000000000e+02,3.331142883300781250e+02
1.594227112216073990e+09,2.950000000000000000e+02,3.330726318359375000e+02
1.594227200959870577e+09,2.960000000000000000e+02,3.330351562500000000e+02
1.594227290516843081e+09,2.970000000000000000e+02,3.329973754882812500e+02
1.594227379936612129e+09,2.980000000000000000e+02,3.329585571289062500e+02
1.594227468697422266e+09,2.990000000000000000e+02,3.329208374023437500e+02
1.594227558651667356e+09,3.000000000000000000e+02,3.328827819824218750e+02
