Wall Time, Step, Value
1.594214182132800341e+09,1.510000000000000000e+02,4.022040557861328125e+01
1.594214291585678816e+09,1.520000000000000000e+02,6.244070053100585938e+01
1.594214399724847555e+09,1.530000000000000000e+02,8.334743499755859375e+01
1.594214508658904314e+09,1.540000000000000000e+02,1.052712554931640625e+02
1.594214617867017746e+09,1.550000000000000000e+02,1.276177291870117188e+02
1.594214727214238405e+09,1.560000000000000000e+02,1.518900451660156250e+02
1.594214834483466148e+09,1.570000000000000000e+02,1.766784973144531250e+02
1.594214943041423559e+09,1.580000000000000000e+02,2.024925537109375000e+02
1.594215051775820971e+09,1.590000000000000000e+02,2.292612762451171875e+02
1.594215160526322126e+09,1.600000000000000000e+02,2.577010192871093750e+02
1.594215269724850416e+09,1.610000000000000000e+02,2.860418395996093750e+02
1.594215378134924173e+09,1.620000000000000000e+02,3.160528869628906250e+02
1.594215486834177017e+09,1.630000000000000000e+02,3.455398559570312500e+02
1.594215595590166807e+09,1.640000000000000000e+02,3.758852233886718750e+02
1.594215703376735926e+09,1.650000000000000000e+02,4.053701782226562500e+02
1.594215812613014936e+09,1.660000000000000000e+02,4.350719909667968750e+02
1.594215920928942919e+09,1.670000000000000000e+02,4.644802246093750000e+02
1.594216030769371033e+09,1.680000000000000000e+02,4.941048278808593750e+02
1.594216138178877592e+09,1.690000000000000000e+02,5.226749877929687500e+02
1.594216246797488451e+09,1.700000000000000000e+02,5.509260864257812500e+02
1.594216355710148573e+09,1.710000000000000000e+02,5.790139160156250000e+02
1.594216464831977844e+09,1.720000000000000000e+02,6.068545532226562500e+02
1.594216572255783796e+09,1.730000000000000000e+02,6.344521484375000000e+02
1.594216680987107515e+09,1.740000000000000000e+02,6.613538208007812500e+02
1.594216790462850332e+09,1.750000000000000000e+02,6.879351806640625000e+02
1.594216899557101011e+09,1.760000000000000000e+02,7.141430664062500000e+02
1.594217007999754667e+09,1.770000000000000000e+02,7.392837524414062500e+02
1.594217116779983759e+09,1.780000000000000000e+02,7.647073974609375000e+02
1.594217225122700453e+09,1.790000000000000000e+02,7.891704711914062500e+02
1.594217333715589523e+09,1.800000000000000000e+02,8.128327636718750000e+02
1.594217442679370165e+09,1.810000000000000000e+02,8.366274414062500000e+02
1.594217551051706314e+09,1.820000000000000000e+02,8.594843139648437500e+02
1.594217659958151579e+09,1.830000000000000000e+02,8.819579467773437500e+02
1.594217768445747614e+09,1.840000000000000000e+02,9.031672973632812500e+02
