Wall time,Step,Value
1594865168.7068799,1.0,73.16751861572266
1594865263.743534,2.0,72.83284759521484
1594865358.2123206,3.0,72.31885528564453
1594865451.440777,4.0,72.2607421875
1594865545.652856,5.0,72.64069366455078
1594865639.7943218,6.0,72.59815979003906
1594865734.0871792,7.0,72.68881225585938
1594865828.2341564,8.0,72.64889526367188
1594865922.8139575,9.0,72.5821762084961
1594866017.2568219,10.0,72.50440979003906
1594866111.6528158,11.0,72.59474182128906
1594866206.8889868,12.0,72.83345031738281
1594866301.9926186,13.0,73.2602310180664
1594866395.688471,14.0,72.3023681640625
1594866489.5268285,15.0,72.18647003173828
1594866584.3129094,16.0,73.02001190185547
1594866679.0335815,17.0,72.7084732055664
1594866772.6651134,18.0,72.91453552246094
1594866866.798913,19.0,72.56507873535156
1594866960.4430587,20.0,72.87600708007812
1594867055.9452713,21.0,73.2752685546875
1594867149.7992516,22.0,72.64911651611328
1594867244.3769085,23.0,72.8897933959961
1594867338.5759366,24.0,72.66085815429688
1594867432.8737974,25.0,73.16902160644531
1594867527.559822,26.0,72.63973236083984
1594867622.0171864,27.0,73.22208404541016
1594867716.9434054,28.0,73.133544921875
1594867811.2622328,29.0,72.2711181640625
1594867905.4918654,30.0,72.28135681152344
1594867999.4862528,31.0,73.00942993164062
1594868094.7630002,32.0,73.24898529052734
1594868189.0325348,33.0,72.8941650390625
1594868284.1031115,34.0,72.97811889648438
1594868378.9239626,35.0,72.98138427734375
1594868474.0529213,36.0,73.37831115722656
1594868567.7981098,37.0,72.45801544189453
1594868661.932374,38.0,73.05570220947266
1594868755.3989422,39.0,72.6579360961914
1594868850.1497085,40.0,72.7668228149414
1594868944.0013702,41.0,72.60169982910156
1594869038.637727,42.0,72.8974380493164
1594869133.462775,43.0,73.00860595703125
1594869227.1900108,44.0,72.22830963134766
1594869321.6229904,45.0,72.60751342773438
1594869415.70683,46.0,72.9200210571289
1594869509.7649775,47.0,72.8487777709961
1594869603.0046904,48.0,72.5352554321289
1594869697.064584,49.0,72.74618530273438
1594869792.1197767,50.0,73.24720001220703
1594869886.5931244,51.0,72.50777435302734
1594869981.0318348,52.0,72.81864166259766
1594870075.5041816,53.0,72.78693389892578
1594870170.922568,54.0,73.54683685302734
1594870265.4921744,55.0,72.93555450439453
1594870359.4334805,56.0,72.70891571044922
1594870453.2676804,57.0,72.58728790283203
1594870548.1468775,58.0,72.86932373046875
1594870642.7463253,59.0,72.2881851196289
1594870737.2082932,60.0,72.80024719238281
1594870832.0898273,61.0,73.07242584228516
1594870925.7091227,62.0,72.5886459350586
1594871019.378945,63.0,72.63418579101562
1594871113.4869187,64.0,72.9025650024414
1594871208.286767,65.0,72.69690704345703
1594871302.4743755,66.0,72.921142578125
1594871398.2769554,67.0,73.70330810546875
1594871493.117626,68.0,72.65673828125
1594871588.1365318,69.0,73.13644409179688
1594871682.6677847,70.0,72.85287475585938
1594871777.8567755,71.0,73.4014892578125
1594871872.601291,72.0,73.21900177001953
1594871965.9290783,73.0,72.65855407714844
1594872061.2767675,74.0,73.38798522949219
1594872155.261401,75.0,72.47428894042969
1594872248.8866851,76.0,72.48187255859375
1594872342.8578546,77.0,72.76179504394531
1594872438.384819,78.0,73.34832763671875
1594872533.462467,79.0,73.14193725585938
1594872628.6367333,80.0,73.02806854248047
1594872722.8742797,81.0,73.21964263916016
1594872817.8278143,82.0,72.79768371582031
1594872912.3072999,83.0,72.72470092773438
1594873007.27366,84.0,73.1401138305664
1594873102.1195714,85.0,73.05226135253906
1594873197.4704704,86.0,73.28246307373047
1594873291.4756725,87.0,72.75597381591797
1594873386.1548624,88.0,72.96106719970703
1594873480.65955,89.0,72.56910705566406
1594873578.1028316,90.0,74.63276672363281
1594873676.7582982,91.0,75.15223693847656
1594873775.0716298,92.0,75.59884643554688
1594873870.4295282,93.0,74.42642211914062
1594873965.3411055,94.0,73.43093872070312
1594874060.4855516,95.0,73.27680206298828
1594874155.264191,96.0,72.95509338378906
1594874249.646726,97.0,72.9849624633789
1594874344.1963177,98.0,73.24030303955078
1594874439.094434,99.0,73.2911605834961
1594874533.7033136,100.0,73.29751586914062
1594874628.406637,101.0,73.1392593383789
1594874723.2274492,102.0,73.23298645019531
1594874817.9070408,103.0,72.57774353027344
1594874913.1390846,104.0,73.33416748046875
1594875007.811375,105.0,73.12837219238281
1594875103.1194837,106.0,73.49266815185547
1594875198.3361766,107.0,73.4469223022461
1594875293.5084734,108.0,72.89696502685547
1594875388.9273465,109.0,73.16341400146484
1594875483.518694,110.0,73.24993133544922
1594875577.9338276,111.0,73.24332427978516
1594875672.6608846,112.0,73.22984313964844
1594875767.4763734,113.0,72.9668960571289
1594875862.0031807,114.0,72.96497344970703
1594875957.0535786,115.0,73.49652862548828
1594876051.8665216,116.0,73.07331085205078
1594876147.156883,117.0,73.01915740966797
1594876241.2701995,118.0,72.95193481445312
1594876336.221865,119.0,72.81277465820312
1594876431.0593293,120.0,72.861083984375
1594876525.5831373,121.0,73.74549865722656
1594876620.1578214,122.0,73.56243133544922
1594876714.8112037,123.0,73.23464965820312
1594876809.603268,124.0,73.18061828613281
1594876903.0129778,125.0,72.51348876953125
1594876997.8626468,126.0,73.06932067871094
1594877093.0279436,127.0,73.39144897460938
1594877186.9224846,128.0,72.443603515625
1594877281.7220562,129.0,72.77446746826172
1594877376.3057048,130.0,72.8880615234375
1594877470.7893746,131.0,72.75287628173828
1594877565.6204631,132.0,72.78015899658203
1594877660.3861675,133.0,73.15064239501953
1594877754.622568,134.0,72.92058563232422
1594877849.2731721,135.0,73.0237808227539
1594877944.6954048,136.0,72.69151306152344
1594878039.093716,137.0,73.02397918701172
1594878133.8920515,138.0,73.2110366821289
1594878228.2002742,139.0,72.79003143310547
1594878323.151437,140.0,73.2291030883789
1594878417.704922,141.0,72.67630004882812
1594878512.3420017,142.0,73.20575714111328
1594878606.8329165,143.0,73.06635284423828
1594878701.344348,144.0,73.005859375
1594878796.9472682,145.0,73.25868225097656
1594878891.3021204,146.0,73.0173568725586
1594878985.4169312,147.0,72.79280853271484
1594879081.1985996,148.0,73.47074890136719
1594879175.7054284,149.0,73.00784301757812
1594879270.8063738,150.0,72.9241943359375
1594879387.4827747,151.0,94.51361083984376
1594879503.8599348,152.0,94.91775512695312
1594879621.4967468,153.0,95.8478546142578
1594879737.593681,154.0,94.58018493652344
1594879854.3226874,155.0,95.11944580078124
1594879970.5892246,156.0,94.8911361694336
1594880087.7485046,157.0,95.3276138305664
1594880203.1896474,158.0,94.04016876220705
1594880319.77303,159.0,94.78397369384766
1594880436.3714285,160.0,94.30204010009766
1594880551.9912884,161.0,94.30923461914062
1594880668.0073395,162.0,94.27140808105469
1594880784.1627662,163.0,94.21936798095705
1594880900.9845755,164.0,94.84270477294922
1594881017.998397,165.0,95.27520751953124
1594881135.862726,166.0,95.82737731933594
1594881252.4655836,167.0,94.68455505371094
1594881368.524512,168.0,94.3574676513672
1594881484.6312199,169.0,94.1283950805664
1594881600.9038842,170.0,94.11837005615234
1594881717.6140444,171.0,94.39177703857422
1594881833.735726,172.0,94.99307250976562
1594881949.9238892,173.0,94.32438659667969
1594882065.5051267,174.0,93.82569885253906
1594882181.6288311,175.0,93.92589569091795
1594882297.5707464,176.0,94.65343475341795
1594882413.9636593,177.0,94.54013061523438
1594882530.7063992,178.0,94.77503204345705
1594882646.458182,179.0,93.86522674560548
1594882763.1794965,180.0,94.92224884033205
1594882878.619913,181.0,94.24996948242188
1594882996.1589005,182.0,95.53303527832031
1594883112.6405036,183.0,94.55299377441406
1594883229.0298529,184.0,94.20963287353516
1594883344.0282333,185.0,92.96612548828124
1594883459.787875,186.0,94.40251922607422
1594883575.65512,187.0,94.79882049560548
1594883692.0371,188.0,94.16883087158205
1594883808.922088,189.0,94.84510040283205
1594883925.03115,190.0,94.80152130126952
1594884041.2364662,191.0,94.69743347167969
1594884156.886573,192.0,94.3991928100586
1594884273.0907116,193.0,94.47836303710938
1594884389.828458,194.0,95.01216888427734
1594884506.248067,195.0,94.59456634521484
1594884622.3989365,196.0,94.56640625
1594884738.4448001,197.0,94.40576934814452
1594884855.0377338,198.0,94.69065856933594
1594884971.165589,199.0,94.5080795288086
1594885086.9134529,200.0,94.7830581665039
1594885201.6951077,201.0,93.76649475097656
1594885318.260518,202.0,94.53741455078124
1594885433.8310897,203.0,94.128173828125
1594885549.1099346,204.0,94.27130889892578
1594885665.3599002,205.0,94.7388153076172
1594885781.1126564,206.0,94.65554809570312
1594885898.4745178,207.0,95.14895629882812
1594886015.0026906,208.0,94.6429214477539
1594886131.0300357,209.0,94.615966796875
1594886248.1524467,210.0,95.1908187866211
1594886365.2658694,211.0,95.2240753173828
