Wall time,Step,Value
1594899739.1536782,301.0,906.0044555664062
1594899873.516991,302.0,2876.124267578125
1594900008.1107962,303.0,3644.2099609375
1594900142.1803586,304.0,4054.98876953125
1594900276.4075556,305.0,4313.11572265625
1594900409.5942526,306.0,4490.8564453125
1594900543.7877731,307.0,4622.26171875
1594900677.1960785,308.0,4723.66552734375
1594900812.0673115,309.0,4806.33740234375
1594900946.375747,310.0,4876.75927734375
1594901080.170901,311.0,4937.79150390625
1594901214.5135393,312.0,4992.75390625
1594901347.9071903,313.0,5043.9638671875
1594901481.0720756,314.0,5092.92529296875
1594901615.5770214,315.0,5138.66259765625
1594901749.9738686,316.0,5183.2734375
1594901883.5794404,317.0,5226.91357421875
1594902018.1668575,318.0,5268.1904296875
1594902152.922477,319.0,5308.55859375
1594902286.3155706,320.0,5347.5869140625
1594902420.0256808,321.0,5384.796875
1594902553.6189759,322.0,5421.341796875
1594902687.9436276,323.0,5455.84619140625
1594902821.2763484,324.0,5488.72412109375
1594902955.3039124,325.0,5519.87744140625
1594903089.4789474,326.0,5550.15869140625
1594903223.4678936,327.0,5578.65283203125
1594903357.6230204,328.0,5606.083984375
1594903491.3869407,329.0,5630.12353515625
1594903625.2262661,330.0,5654.07958984375
1594903759.9002063,331.0,5677.33984375
1594903894.5982544,332.0,5699.02978515625
1594904028.363409,333.0,5718.90380859375
1594904162.9172919,334.0,5738.31005859375
1594904297.4741573,335.0,5755.7763671875
1594904432.019437,336.0,5772.697265625
1594904566.8511646,337.0,5788.99853515625
1594904700.9711835,338.0,5804.12451171875
1594904836.2956212,339.0,5818.36474609375
1594904969.7160113,340.0,5832.19677734375
1594905104.3166065,341.0,5845.40966796875
1594905237.7370632,342.0,5858.54345703125
1594905372.304033,343.0,5870.45263671875
1594905507.903066,344.0,5881.15966796875
1594905642.2200463,345.0,5891.16455078125
1594905776.8126676,346.0,5901.64404296875
1594905910.5772045,347.0,5911.55078125
1594906044.7531474,348.0,5920.81787109375
1594906178.7886045,349.0,5930.2802734375
1594906314.1397724,350.0,5938.6123046875
1594906447.8243763,351.0,5946.8935546875
1594906580.9737642,352.0,5953.75048828125
1594906714.9987354,353.0,5960.52783203125
1594906849.0440257,354.0,5967.966796875
1594906984.0263836,355.0,5974.22998046875
1594907118.542546,356.0,5982.09375
1594907252.2807567,357.0,5988.298828125
1594907386.0496686,358.0,5994.5498046875
1594907520.6823082,359.0,6000.447265625
1594907655.103425,360.0,6005.89697265625
1594907789.5469964,361.0,6011.22021484375
1594907924.420809,362.0,6015.3935546875
1594908058.8161647,363.0,6020.90625
1594908191.9089422,364.0,6026.37646484375
1594908325.8851802,365.0,6031.15185546875
1594908459.286857,366.0,6036.443359375
1594908593.5191462,367.0,6040.65771484375
1594908726.6730175,368.0,6044.8974609375
1594908861.3827345,369.0,6050.41259765625
1594908995.2346506,370.0,6054.005859375
1594909128.731109,371.0,6058.34716796875
1594909262.8502758,372.0,6062.9697265625
1594909397.3467968,373.0,6066.45068359375
1594909530.5615394,374.0,6070.8095703125
1594909664.571439,375.0,6075.615234375
1594909798.4182494,376.0,6077.83447265625
1594909932.5488832,377.0,6081.72021484375
1594910066.9040554,378.0,6085.91796875
1594910201.7482455,379.0,6088.47021484375
1594910335.5076065,380.0,6092.953125
1594910470.4092357,381.0,6096.7080078125
1594910605.0885925,382.0,6099.447265625
1594910739.471775,383.0,6103.03955078125
1594910873.3222973,384.0,6105.86181640625
1594911008.0832946,385.0,6109.93701171875
1594911141.569234,386.0,6112.79150390625
1594911275.0304115,387.0,6116.4619140625
1594911409.5494697,388.0,6118.83154296875
1594911543.1411583,389.0,6121.04248046875
1594911676.9563248,390.0,6123.98974609375
1594911811.638901,391.0,6127.724609375
1594911945.9801633,392.0,6130.19287109375
1594912079.2629082,393.0,6133.0166015625
1594912212.4812071,394.0,6136.505859375
1594912346.4486496,395.0,6139.0703125
1594912480.5206509,396.0,6141.86865234375
1594912614.5187519,397.0,6144.26904296875
1594912748.8070946,398.0,6146.80419921875
1594912882.5606105,399.0,6149.81005859375
1594913017.0025651,400.0,6152.6640625
1594913151.8331306,401.0,6154.71923828125
1594913286.1301966,402.0,6158.08837890625
1594913419.749877,403.0,6159.8642578125
1594913554.1181805,404.0,6162.86767578125
1594913687.8404915,405.0,6164.8310546875
1594913822.6555588,406.0,6167.1162109375
1594913956.262359,407.0,6170.02880859375
1594914089.5119221,408.0,6171.5888671875
1594914224.1421435,409.0,6174.05859375
1594914358.1425207,410.0,6175.9716796875
1594914493.224188,411.0,6177.32568359375
1594914628.2163484,412.0,6179.509765625
1594914762.4614055,413.0,6181.8564453125
1594914895.7473936,414.0,6184.6328125
1594915029.688981,415.0,6187.29248046875
1594915163.8815053,416.0,6190.0830078125
1594915298.1448562,417.0,6192.16650390625
1594915432.2100446,418.0,6194.0537109375
1594915566.826525,419.0,6196.06494140625
1594915700.2735846,420.0,6198.20361328125
1594915835.2208755,421.0,6200.08349609375
1594915969.0739963,422.0,6200.587890625
1594916104.1138928,423.0,6203.7265625
1594916237.9101725,424.0,6205.75439453125
1594916373.3161669,425.0,6207.6240234375
1594916507.8988788,426.0,6208.7080078125
