Wall time,Step,Value
1595656462.7189965,151.0,2639.4462890625
1595656572.4733806,152.0,4271.927734375
1595656682.573236,153.0,4972.095947265625
1595656793.268759,154.0,5417.229248046875
1595656903.469302,155.0,5743.338134765625
1595657012.9559784,156.0,6000.417236328125
1595657123.6419597,157.0,6212.66748046875
1595657233.0757694,158.0,6393.64697265625
1595657343.2973082,159.0,6551.218017578125
1595657453.706993,160.0,6690.434814453125
1595657564.7247038,161.0,6816.10400390625
1595657673.2614696,162.0,6930.04248046875
1595657782.3241596,163.0,7034.463134765625
1595657891.855075,164.0,7130.6455078125
1595658001.1429634,165.0,7219.884765625
1595658111.4539948,166.0,7303.19921875
1595658226.455243,167.0,7382.032470703125
1595658339.1274805,168.0,7456.188720703125
1595658448.2853205,169.0,7526.666748046875
1595658558.4345121,170.0,7593.631591796875
1595658668.5574229,171.0,7656.8388671875
1595658778.2661972,172.0,7717.4541015625
1595658888.2406259,173.0,7775.852783203125
1595658998.1659236,174.0,7831.44091796875
1595659107.9742236,175.0,7884.61962890625
1595659217.8115356,176.0,7936.389892578125
1595659327.5990343,177.0,7986.053466796875
1595659437.0185027,178.0,8033.97607421875
1595659546.575945,179.0,8080.9248046875
1595659656.1823254,180.0,8126.2080078125
1595659766.467966,181.0,8169.7333984375
1595659876.2944531,182.0,8212.029296875
1595659986.3777127,183.0,8253.7841796875
1595660097.193594,184.0,8294.1552734375
1595660207.5212905,185.0,8333.02490234375
1595660316.9086041,186.0,8370.8955078125
1595660427.2748342,187.0,8408.01953125
1595660537.1060433,188.0,8444.1025390625
1595660647.0989623,189.0,8479.970703125
1595660756.8128467,190.0,8514.62939453125
1595660867.232205,191.0,8548.8115234375
1595660977.3630967,192.0,8581.8310546875
1595661086.5099158,193.0,8614.81640625
1595661196.538419,194.0,8646.31787109375
1595661306.514801,195.0,8677.4541015625
1595661416.7463474,196.0,8708.150390625
1595661527.128503,197.0,8738.13720703125
1595661637.3820128,198.0,8768.251953125
1595661747.3113947,199.0,8797.02001953125
1595661858.0477362,200.0,8825.19287109375
1595661968.1864924,201.0,8853.24853515625
1595662078.4149237,202.0,8880.7646484375
1595662188.4423032,203.0,8907.3935546875
1595662298.0655694,204.0,8934.0849609375
1595662407.389504,205.0,8959.75732421875
1595662517.9113488,206.0,8986.01416015625
1595662627.9097748,207.0,9011.50732421875
1595662738.8266892,208.0,9036.45849609375
1595662849.866507,209.0,9061.158203125
1595662959.428502,210.0,9085.52392578125
1595663069.420784,211.0,9109.5693359375
1595663179.9126248,212.0,9132.89990234375
1595663289.9369273,213.0,9156.36083984375
1595663399.956974,214.0,9179.220703125
1595663510.405427,215.0,9201.8408203125
1595663620.7969677,216.0,9224.13427734375
1595663731.107984,217.0,9246.06640625
1595663841.4084964,218.0,9267.21923828125
1595663951.8303804,219.0,9288.34228515625
1595664061.5260894,220.0,9309.65087890625
1595664171.6938982,221.0,9330.7568359375
1595664281.3868093,222.0,9350.8935546875
1595664391.525103,223.0,9371.06494140625
1595664501.9609804,224.0,9391.78515625
1595664612.4691403,225.0,9411.728515625
1595664722.5154114,226.0,9431.49072265625
1595664832.2781954,227.0,9451.11181640625
1595664942.5136647,228.0,9470.4619140625
1595665052.4492316,229.0,9488.984375
1595665162.8808272,230.0,9507.6328125
1595665273.1983972,231.0,9526.6787109375
1595665383.0037766,232.0,9544.859375
1595665493.1961496,233.0,9562.2763671875
1595665603.6095338,234.0,9580.22607421875
1595665713.6261296,235.0,9598.1015625
1595665824.382439,236.0,9615.603515625
1595665934.004764,237.0,9633.1279296875
1595666043.985866,238.0,9650.37255859375
1595666154.264721,239.0,9667.65283203125
1595666263.7787845,240.0,9684.5107421875
1595666374.5269017,241.0,9701.31787109375
1595666485.070922,242.0,9717.77978515625
1595666595.1906285,243.0,9733.86572265625
1595666705.7477908,244.0,9749.95361328125
1595666816.1210651,245.0,9765.83837890625
1595666926.263621,246.0,9781.81689453125
1595667036.3263588,247.0,9797.9443359375
1595667146.4906802,248.0,9813.1533203125
1595667256.7243156,249.0,9828.46337890625
1595667366.4484315,250.0,9843.51708984375
1595667476.5520377,251.0,9858.13671875
1595667586.0406237,252.0,9872.9208984375
1595667695.6203601,253.0,9888.07177734375
1595667805.5561776,254.0,9902.76171875
1595667915.1769586,255.0,9917.1474609375
1595668025.5168014,256.0,9931.02880859375
1595668135.1745362,257.0,9944.81005859375
1595668245.3021643,258.0,9958.5146484375
1595668355.2890313,259.0,9972.53466796875
1595668465.4470065,260.0,9985.99755859375
1595668575.2073722,261.0,9999.67431640625
1595668685.6188557,262.0,10013.56591796875
1595668795.5902438,263.0,10027.29736328125
1595668905.6523576,264.0,10040.439453125
1595669014.8425145,265.0,10053.62353515625
1595669125.1769404,266.0,10066.76953125
1595669235.8423233,267.0,10079.79931640625
1595669346.2991195,268.0,10092.4462890625
1595669457.0024152,269.0,10104.4990234375
1595669567.3148239,270.0,10116.8896484375
1595669676.4215527,271.0,10129.38427734375
1595669786.6790886,272.0,10141.84130859375
1595669896.705108,273.0,10154.3173828125
1595670006.7663434,274.0,10166.49755859375
1595670117.0343866,275.0,10177.88427734375
1595670226.93005,276.0,10189.56591796875
1595670336.7623067,277.0,10201.46484375
1595670446.8354673,278.0,10213.51025390625
1595670557.2186525,279.0,10225.3681640625
1595670667.5340934,280.0,10237.0576171875
1595670777.63547,281.0,10248.67919921875
1595670887.5219443,282.0,10259.85400390625
1595670997.4491558,283.0,10271.083984375
1595671107.6286263,284.0,10281.79345703125
1595671217.7996373,285.0,10292.87890625
1595671328.0038595,286.0,10304.11767578125
1595671438.1569533,287.0,10314.88525390625
1595671548.1528482,288.0,10325.50830078125
1595671658.1697435,289.0,10336.685546875
1595671768.2707458,290.0,10347.447265625
1595671878.705803,291.0,10357.97509765625
1595671988.7713537,292.0,10368.63037109375
1595672099.259379,293.0,10378.76025390625
1595672210.0397983,294.0,10389.22314453125
1595672320.7052531,295.0,10399.4619140625
1595672431.4316335,296.0,10409.80859375
1595672541.8186097,297.0,10419.7099609375
1595672652.050705,298.0,10430.11767578125
1595672762.657455,299.0,10439.64697265625
1595672872.9140952,300.0,10449.55908203125
1595673002.437294,301.0,10888.39306640625
1595673132.030262,302.0,13263.02392578125
1595673261.5489511,303.0,14300.9013671875
1595673390.989781,304.0,14893.8212890625
1595673520.2126503,305.0,15304.20068359375
1595673649.0155082,306.0,15617.47509765625
1595673778.2064035,307.0,15870.38671875
1595673907.7021198,308.0,16082.3291015625
1595674037.1591046,309.0,16264.69091796875
1595674166.095189,310.0,16425.224609375
1595674295.2605004,311.0,16568.240234375
1595674424.6635742,312.0,16697.763671875
1595674554.1643243,313.0,16814.8310546875
