Wall time,Step,Value
1594887246.1122673,151.0,23.48695182800293
1594887363.7718306,152.0,41.37575912475586
1594887480.8628814,153.0,57.77860641479492
1594887598.151046,154.0,73.95711517333984
1594887715.664673,155.0,90.97366333007812
1594887833.2066267,156.0,109.10236358642578
1594887950.8428164,157.0,126.38273620605469
1594888068.310973,158.0,144.1388397216797
1594888186.064059,159.0,163.13656616210938
1594888305.0415993,160.0,183.16343688964844
1594888423.4641635,161.0,203.21368408203125
1594888540.772318,162.0,224.0400695800781
1594888657.7753794,163.0,246.3672637939453
1594888776.3566446,164.0,269.38262939453125
1594888894.3993232,165.0,292.4521484375
1594889012.1866133,166.0,316.6552429199219
1594889130.5575635,167.0,341.3577575683594
1594889248.9073114,168.0,365.87530517578125
1594889366.633178,169.0,391.4431457519531
1594889483.8934739,170.0,417.8473205566406
1594889601.4012835,171.0,444.3540649414063
1594889720.1091278,172.0,470.2134399414063
1594889838.3922787,173.0,496.50579833984375
1594889955.637977,174.0,523.3753051757811
1594890073.5266216,175.0,549.8737182617189
1594890190.7686546,176.0,576.5345458984375
1594890308.8721552,177.0,603.2272338867188
1594890427.4224656,178.0,629.4826049804688
1594890545.4259923,179.0,654.4924926757812
1594890662.8968554,180.0,679.9449462890625
1594890780.2261593,181.0,704.6514282226562
1594890898.8851616,182.0,728.99853515625
1594891016.6069934,183.0,752.0908813476562
1594891134.4427366,184.0,776.2100830078125
1594891252.2388134,185.0,799.244140625
1594891370.494345,186.0,821.1055908203125
1594891488.361708,187.0,841.6190185546875
1594891607.1630886,188.0,862.5346069335938
1594891724.986581,189.0,883.1409301757812
1594891843.157439,190.0,902.6454467773438
1594891961.3310425,191.0,921.996337890625
1594892078.1615412,192.0,940.1688842773438
1594892196.0019207,193.0,957.4144287109376
1594892312.559336,194.0,974.6181640625
1594892429.2806904,195.0,991.1277465820312
1594892546.8482811,196.0,1007.861572265625
1594892664.2621126,197.0,1023.188720703125
1594892782.5668392,198.0,1038.4552001953123
1594892900.0116532,199.0,1053.3160400390623
1594893018.0031815,200.0,1066.6683349609377
1594893134.3918912,201.0,1079.6912841796877
1594893252.336167,202.0,1093.1544189453123
1594893369.8964498,203.0,1106.121826171875
1594893487.673144,204.0,1117.472900390625
1594893607.0533655,205.0,1129.258544921875
1594893724.7636669,206.0,1140.9312744140625
1594893842.9039376,207.0,1151.850341796875
1594893961.249098,208.0,1162.9400634765625
1594894078.2768135,209.0,1173.9898681640625
1594894196.5752804,210.0,1184.6058349609375
1594894314.5859783,211.0,1194.3868408203125
1594894433.0693645,212.0,1204.57763671875
1594894550.0486422,213.0,1214.6915283203125
1594894668.8237514,214.0,1223.9686279296875
1594894787.2894418,215.0,1233.708740234375
1594894906.0083199,216.0,1243.1734619140625
1594895023.3616498,217.0,1252.0775146484375
1594895140.7395318,218.0,1259.9393310546875
1594895257.2231808,219.0,1267.936279296875
1594895375.9861858,220.0,1275.8370361328125
