Wall time,Step,Value
1595620709.9925017,151,2665.861572265625
1595620821.7165241,152,4280.01806640625
1595620933.5549543,153,4976.83251953125
1595621045.9121902,154,5420.64892578125
1595621157.2007391,155,5746.15771484375
1595621268.8704016,156,6002.75732421875
1595621381.6972108,157,6214.13671875
1595621492.2984097,158,6394.83154296875
1595621604.3197017,159,6552.3701171875
1595621716.9423695,160,6691.3232421875
1595621828.945836,161,6816.576171875
1595621941.0758276,162,6930.39453125
1595622053.548964,163,7034.56689453125
1595622166.5273905,164,7130.4560546875
1595622279.712981,165,7219.83056640625
1595622390.4355047,166,7303.20166015625
1595622502.779095,167,7381.923828125
1595622614.4340777,168,7456.27734375
1595622726.288442,169,7526.53466796875
1595622838.9403703,170,7593.146484375
1595622951.4835877,171,7656.4365234375
1595623063.105375,172,7717.19140625
1595623175.0037832,173,7775.48095703125
1595623286.7922373,174,7831.1376953125
1595623398.5735657,175,7884.576171875
1595623510.2428958,176,7936.568359375
1595623621.5150785,177,7985.7587890625
1595623732.757595,178,8033.30322265625
1595623844.5111353,179,8080.33740234375
1595623956.6803014,180,8125.59423828125
1595624069.2367337,181,8169.154296875
1595624180.9141808,182,8211.427734375
1595624292.7515485,183,8253.68359375
1595624406.3706934,184,8294.2880859375
1595624518.2460723,185,8332.9462890625
1595624630.0482302,186,8370.927734375
1595624742.8682053,187,8408.40234375
1595624854.4681468,188,8444.8291015625
1595624966.2835407,189,8479.8720703125
1595625077.411838,190,8514.93359375
1595625190.2563803,191,8549.4912109375
1595625302.85842,192,8582.533203125
1595625414.9966862,193,8615.59375
1595625526.620984,194,8646.6826171875
1595625638.3102512,195,8677.642578125
1595625750.7251933,196,8708.37890625
1595625862.9382844,197,8738.6474609375
1595625975.394608,198,8768.9130859375
1595626087.8233316,199,8797.9482421875
1595626200.8875659,200,8826.0146484375
1595626312.9132113,201,8853.9951171875
1595626425.703046,202,8881.2412109375
1595626537.000775,203,8908.130859375
1595626648.372389,204,8934.884765625
1595626759.4680192,205,8960.044921875
1595626871.835328,206,8986.06640625
1595626983.8267617,207,9011.4443359375
1595627096.3123572,208,9036.7197265625
1595627209.7058394,209,9061.3818359375
1595627321.500189,210,9085.5859375
1595627433.4044034,211,9109.74609375
1595627545.879842,212,9132.984375
1595627657.7328787,213,9156.3251953125
1595627769.2511413,214,9179.6435546875
1595627881.177451,215,9201.783203125
1595627993.707537,216,9224.052734375
1595628106.0275824,217,9245.96484375
1595628217.7298696,218,9267.2666015625
1595628329.8234017,219,9287.9609375
1595628441.1437056,220,9309.0322265625
1595628553.9687288,221,9330.2841796875
1595628664.8099058,222,9350.5673828125
1595628776.6855135,223,9370.556640625
1595628888.750868,224,9391.3115234375
1595629001.0466914,225,9411.04296875
1595629113.391715,226,9430.873046875
1595629224.4864848,227,9450.48828125
1595629336.3916361,228,9469.666015625
1595629448.0134068,229,9487.7607421875
1595629560.557728,230,9506.6064453125
1595629673.126844,231,9525.2109375
1595629784.8108525,232,9543.5205078125
1595629896.8601558,233,9561.4365234375
1595630009.2939866,234,9579.287109375
1595630120.7056327,235,9597.845703125
1595630232.9900723,236,9614.8017578125
1595630343.8225887,237,9632.20703125
1595630455.109605,238,9649.3896484375
1595630566.9017382,239,9666.751953125
1595630678.6925876,240,9683.8720703125
1595630791.6725125,241,9700.7041015625
1595630904.1240437,242,9717.64453125
1595631015.427986,243,9733.732421875
1595631127.6344151,244,9749.5693359375
1595631239.3869433,245,9765.185546875
1595631351.358419,246,9780.830078125
1595631462.489024,247,9797.4365234375
1595631574.5632422,248,9812.8232421875
1595631686.29497,249,9828.2236328125
1595631797.7607052,250,9843.6328125
1595631909.5887835,251,9858.240234375
1595632020.5598788,252,9873.4501953125
1595632132.1060853,253,9888.396484375
1595632243.676143,254,9903.16796875
1595632355.6317117,255,9917.5869140625
1595632468.0612826,256,9931.9912109375
1595632579.527167,257,9945.5869140625
1595632691.9737434,258,9959.6591796875
1595632803.3749177,259,9973.5205078125
1595632915.1424556,260,9986.576171875
1595633026.3511014,261,10000.35546875
1595633138.4688473,262,10014.1376953125
1595633250.2873828,263,10027.76171875
1595633362.0807676,264,10040.4912109375
1595633472.8134701,265,10053.89453125
1595633584.1258945,266,10067.44921875
1595633696.358027,267,10079.8916015625
