Wall time,Step,Value
1595444637.069741,301.0,590.9028930664062
1595444734.1086578,302.0,734.53076171875
1595444830.3071725,303.0,864.2698364257812
1595444927.7688553,304.0,973.2069091796876
1595445024.3363745,305.0,1069.0531005859377
1595445121.3271506,306.0,1144.0362548828125
1595445218.2024686,307.0,1203.2340087890625
1595445314.8261993,308.0,1249.880859375
1595445411.4049733,309.0,1289.06640625
1595445507.7639248,310.0,1328.075439453125
1595445604.9784424,311.0,1351.4974365234375
1595445702.4553163,312.0,1377.7467041015625
1595445800.8980267,313.0,1395.5460205078125
1595445897.2629492,314.0,1418.3753662109375
1595445994.220218,315.0,1433.0794677734375
1595446092.260224,316.0,1456.6435546875
1595446190.2529747,317.0,1462.1201171875
1595446288.283858,318.0,1473.414794921875
1595446386.1440375,319.0,1487.30517578125
1595446482.5348556,320.0,1498.160400390625
1595446578.6164792,321.0,1507.1612548828125
1595446676.315442,322.0,1524.193115234375
1595446773.5671718,323.0,1531.2354736328125
1595446871.1343105,324.0,1540.4921875
1595446968.6173189,325.0,1545.7615966796875
1595447065.3538196,326.0,1554.12451171875
1595447162.2928455,327.0,1559.1500244140625
1595447258.7557757,328.0,1568.2119140625
1595447356.9080727,329.0,1574.5648193359375
1595447454.515396,330.0,1582.6641845703125
1595447551.3826358,331.0,1588.82861328125
1595447647.8881829,332.0,1596.553955078125
1595447745.4053676,333.0,1600.2794189453125
1595447843.1785285,334.0,1605.8101806640625
1595447940.588481,335.0,1609.5152587890625
1595448038.3024113,336.0,1613.6234130859375
1595448134.9913228,337.0,1617.7977294921875
1595448231.7739418,338.0,1626.9384765625
1595448328.5277588,339.0,1627.7215576171875
1595448425.4325855,340.0,1634.390869140625
1595448522.0444524,341.0,1642.3311767578125
1595448619.388209,342.0,1640.8814697265625
1595448715.5975902,343.0,1641.89794921875
1595448813.7124507,344.0,1648.440673828125
1595448911.026537,345.0,1646.57861328125
1595449007.42574,346.0,1652.4798583984375
1595449103.620263,347.0,1656.34619140625
1595449200.4964192,348.0,1662.5125732421875
1595449297.6953382,349.0,1660.0806884765625
1595449394.6030169,350.0,1655.556884765625
1595449490.8475168,351.0,1662.155517578125
1595449588.5140295,352.0,1659.7349853515625
1595449685.8591154,353.0,1662.6517333984375
1595449782.7450116,354.0,1661.5809326171875
1595449879.542885,355.0,1662.3944091796875
1595449975.7911522,356.0,1666.9517822265625
1595450072.6919177,357.0,1664.5723876953125
1595450169.738743,358.0,1668.8157958984375
1595450265.9406967,359.0,1669.8470458984375
1595450362.7713356,360.0,1666.349365234375
1595450459.3850067,361.0,1668.7783203125
1595450556.1754086,362.0,1664.6688232421875
1595450653.480152,363.0,1665.350830078125
1595450750.2156804,364.0,1663.7476806640625
1595450847.3749895,365.0,1663.9107666015625
1595450945.3758106,366.0,1663.3951416015625
1595451042.1141994,367.0,1665.38916015625
1595451139.6964743,368.0,1670.3048095703125
1595451236.293002,369.0,1664.58251953125
1595451332.6112792,370.0,1663.260009765625
1595451430.8836353,371.0,1660.5364990234375
1595451527.7382867,372.0,1656.1739501953125
1595451624.6016436,373.0,1654.572998046875
1595451721.695657,374.0,1656.785888671875
1595451818.6978943,375.0,1652.8536376953125
1595451916.1513395,376.0,1653.1005859375
1595452012.6209204,377.0,1651.447509765625
1595452109.2859194,378.0,1648.4718017578125
1595452206.6681411,379.0,1648.80859375
1595452302.9300365,380.0,1648.43115234375
1595452398.9684107,381.0,1646.9346923828125
1595452495.1598256,382.0,1646.052490234375
1595452591.9580278,383.0,1641.0516357421875
1595452689.1627483,384.0,1637.3177490234375
1595452786.7709525,385.0,1633.256591796875
1595452882.4819126,386.0,1629.5445556640625
1595452979.390063,387.0,1627.361328125
1595453075.687498,388.0,1624.9202880859375
1595453173.1657646,389.0,1624.9151611328125
1595453270.1225665,390.0,1622.1973876953125
1595453366.5610917,391.0,1620.54541015625
1595453463.905364,392.0,1617.6092529296875
1595453560.0280187,393.0,1610.437255859375
1595453657.2706516,394.0,1606.8861083984375
1595453753.5892198,395.0,1606.4593505859375
1595453850.6626933,396.0,1601.9681396484375
1595453948.162982,397.0,1596.0548095703125
1595454045.021557,398.0,1593.252685546875
1595454141.3322685,399.0,1590.2083740234375
1595454238.174373,400.0,1585.0738525390625
1595454335.2210429,401.0,1581.491943359375
1595454430.561843,402.0,1576.7220458984375
1595454527.2907858,403.0,1573.5115966796875
1595454624.6138325,404.0,1568.9622802734375
1595454721.1055038,405.0,1565.1842041015625
1595454817.0714884,406.0,1561.72412109375
1595454913.3086329,407.0,1557.775146484375
1595455009.8373196,408.0,1554.4891357421875
1595455106.243799,409.0,1551.2958984375
1595455203.3973064,410.0,1545.34814453125
1595455299.5813904,411.0,1540.7099609375
1595455396.6251366,412.0,1535.362548828125
1595455493.1261215,413.0,1529.50244140625
1595455590.7674682,414.0,1524.648681640625
1595455687.2022169,415.0,1519.9866943359375
1595455784.571998,416.0,1515.9097900390625
1595455881.693425,417.0,1510.853759765625
1595455978.5646346,418.0,1504.7572021484375
1595456074.3086207,419.0,1499.8271484375
1595456170.9331694,420.0,1494.017578125
1595456268.2220109,421.0,1488.6822509765625
1595456364.7984679,422.0,1484.193359375
1595456462.0408914,423.0,1478.492919921875
1595456558.4540966,424.0,1473.78857421875
1595456655.5719826,425.0,1469.4046630859375
1595456752.9795885,426.0,1464.6119384765625
1595456848.507651,427.0,1459.9661865234375
1595456945.908715,428.0,1455.571533203125
1595457043.1058433,429.0,1451.056640625
1595457138.9557564,430.0,1447.1021728515625
1595457235.3437436,431.0,1443.1820068359375
1595457331.9323132,432.0,1439.3323974609375
1595457428.855222,433.0,1435.6416015625
1595457525.8279626,434.0,1432.240478515625
1595457623.1176732,435.0,1429.412353515625
1595457720.0817077,436.0,1426.7003173828125
1595457816.1527302,437.0,1424.2630615234375
1595457913.0863993,438.0,1422.3077392578125
1595458009.1746304,439.0,1420.4571533203125
1595458105.5656598,440.0,1418.9591064453125
1595458202.7341385,441.0,1417.7347412109375
1595458298.6941054,442.0,1416.7420654296875
1595458395.5911071,443.0,1415.8961181640625
1595458492.151214,444.0,1415.273193359375
1595458588.2981155,445.0,1414.76806640625
1595458684.4609575,446.0,1414.4541015625
1595458781.1483324,447.0,1414.245361328125
1595458877.6983588,448.0,1414.13623046875
1595458975.331354,449.0,1414.0811767578125
1595459072.7907255,450.0,1414.067626953125
1595459178.6348848,451.0,1749.9127197265625
1595459285.2983649,452.0,1714.04833984375
1595459392.4065392,453.0,1699.1103515625
1595459499.6173346,454.0,1695.6231689453125
1595459606.3837335,455.0,1686.818359375
1595459713.3143187,456.0,1697.17919921875
1595459819.5587175,457.0,1695.2088623046875
1595459926.8224995,458.0,1699.5015869140625
