Wall Time, Step, Value
1.594416752777168274e+09,1.010000000000000000e+02,4.500191879272460938e+01
1.594416860630089045e+09,1.020000000000000000e+02,1.749705200195312500e+02
1.594416969368382215e+09,1.030000000000000000e+02,4.955947265625000000e+02
1.594417077216784239e+09,1.040000000000000000e+02,9.760291748046875000e+02
1.594417184475913286e+09,1.050000000000000000e+02,1.444441528320312500e+03
1.594417292102611303e+09,1.060000000000000000e+02,1.820398437500000000e+03
1.594417400275655746e+09,1.070000000000000000e+02,2.105038818359375000e+03
1.594417508231690168e+09,1.080000000000000000e+02,2.320142578125000000e+03
1.594417615713172197e+09,1.090000000000000000e+02,2.484161376953125000e+03
1.594417723322287321e+09,1.100000000000000000e+02,2.610763916015625000e+03
1.594417830887647390e+09,1.110000000000000000e+02,2.710026367187500000e+03
1.594417938061991692e+09,1.120000000000000000e+02,2.787919677734375000e+03
1.594418046139319658e+09,1.130000000000000000e+02,2.849967285156250000e+03
1.594418153041546583e+09,1.140000000000000000e+02,2.900283447265625000e+03
1.594418261419916868e+09,1.150000000000000000e+02,2.940838867187500000e+03
1.594418368437994242e+09,1.160000000000000000e+02,2.974313232421875000e+03
1.594418476001240969e+09,1.170000000000000000e+02,3.002243164062500000e+03
1.594418584023600340e+09,1.180000000000000000e+02,3.025897705078125000e+03
1.594418691357874632e+09,1.190000000000000000e+02,3.046135986328125000e+03
1.594418798571316957e+09,1.200000000000000000e+02,3.063349609375000000e+03
1.594418906257616758e+09,1.210000000000000000e+02,3.078015869140625000e+03
1.594419014248289824e+09,1.220000000000000000e+02,3.091244140625000000e+03
1.594419121083266497e+09,1.230000000000000000e+02,3.102832031250000000e+03
1.594419228726666212e+09,1.240000000000000000e+02,3.113307128906250000e+03
1.594419337448118210e+09,1.250000000000000000e+02,3.122809326171875000e+03
1.594419444762892723e+09,1.260000000000000000e+02,3.131636718750000000e+03
1.594419553034353495e+09,1.270000000000000000e+02,3.139860595703125000e+03
1.594419660407583237e+09,1.280000000000000000e+02,3.148033691406250000e+03
1.594419767954333544e+09,1.290000000000000000e+02,3.155654785156250000e+03
1.594419876361738443e+09,1.300000000000000000e+02,3.162808105468750000e+03
1.594419984779733419e+09,1.310000000000000000e+02,3.169093261718750000e+03
1.594420091781294584e+09,1.320000000000000000e+02,3.175610351562500000e+03
1.594420199234835386e+09,1.330000000000000000e+02,3.182250488281250000e+03
1.594420307323767900e+09,1.340000000000000000e+02,3.187937011718750000e+03
1.594420415562724352e+09,1.350000000000000000e+02,3.193531982421875000e+03
1.594420522858550310e+09,1.360000000000000000e+02,3.199487060546875000e+03
1.594420630230517149e+09,1.370000000000000000e+02,3.204699951171875000e+03
1.594420739237157106e+09,1.380000000000000000e+02,3.210326660156250000e+03
1.594420848132916689e+09,1.390000000000000000e+02,3.215768554687500000e+03
1.594420955947432280e+09,1.400000000000000000e+02,3.221156738281250000e+03
1.594421063871207476e+09,1.410000000000000000e+02,3.226240478515625000e+03
1.594421171209131479e+09,1.420000000000000000e+02,3.231299804687500000e+03
1.594421279436578035e+09,1.430000000000000000e+02,3.235894531250000000e+03
1.594421386119738340e+09,1.440000000000000000e+02,3.240996582031250000e+03
1.594421494917446375e+09,1.450000000000000000e+02,3.245812011718750000e+03
1.594421603842680216e+09,1.460000000000000000e+02,3.250902587890625000e+03
1.594421711427367449e+09,1.470000000000000000e+02,3.254877929687500000e+03
1.594421819583591223e+09,1.480000000000000000e+02,3.259840576171875000e+03
1.594421927870754004e+09,1.490000000000000000e+02,3.264019775390625000e+03
1.594422036219099283e+09,1.500000000000000000e+02,3.269033203125000000e+03
1.594422143640111208e+09,1.510000000000000000e+02,3.273582519531250000e+03
1.594422251624590874e+09,1.520000000000000000e+02,3.277946289062500000e+03
1.594422359484947920e+09,1.530000000000000000e+02,3.282091796875000000e+03
1.594422466361414671e+09,1.540000000000000000e+02,3.285805908203125000e+03
1.594422574614922523e+09,1.550000000000000000e+02,3.291063720703125000e+03
1.594422682712226629e+09,1.560000000000000000e+02,3.295406982421875000e+03
1.594422790912236452e+09,1.570000000000000000e+02,3.299706542968750000e+03
1.594422898273980856e+09,1.580000000000000000e+02,3.303151855468750000e+03
1.594423005088845253e+09,1.590000000000000000e+02,3.307069824218750000e+03
1.594423113729750872e+09,1.600000000000000000e+02,3.310849365234375000e+03
1.594423221772821426e+09,1.610000000000000000e+02,3.314423828125000000e+03
1.594423329797248125e+09,1.620000000000000000e+02,3.318304687500000000e+03
1.594423436615429878e+09,1.630000000000000000e+02,3.323110595703125000e+03
1.594423544847713232e+09,1.640000000000000000e+02,3.327393310546875000e+03
1.594423652468215227e+09,1.650000000000000000e+02,3.331121826171875000e+03
1.594423759649731398e+09,1.660000000000000000e+02,3.335277343750000000e+03
1.594423867267707109e+09,1.670000000000000000e+02,3.338898681640625000e+03
1.594423975046995878e+09,1.680000000000000000e+02,3.341833740234375000e+03
1.594424083385554075e+09,1.690000000000000000e+02,3.345095947265625000e+03
1.594424191701413393e+09,1.700000000000000000e+02,3.349229980468750000e+03
1.594424299995842934e+09,1.710000000000000000e+02,3.352954833984375000e+03
1.594424406539482832e+09,1.720000000000000000e+02,3.356353271484375000e+03
1.594424514645770311e+09,1.730000000000000000e+02,3.360031250000000000e+03
1.594424622272769213e+09,1.740000000000000000e+02,3.363303466796875000e+03
1.594424729259777069e+09,1.750000000000000000e+02,3.365408935546875000e+03
1.594424837777933359e+09,1.760000000000000000e+02,3.369179687500000000e+03
1.594424946189894915e+09,1.770000000000000000e+02,3.371656250000000000e+03
1.594425054156533480e+09,1.780000000000000000e+02,3.374655517578125000e+03
1.594425161075797319e+09,1.790000000000000000e+02,3.377393554687500000e+03
1.594425269507273912e+09,1.800000000000000000e+02,3.379983398437500000e+03
1.594425377718558073e+09,1.810000000000000000e+02,3.383248779296875000e+03
1.594425485930704117e+09,1.820000000000000000e+02,3.386955810546875000e+03
1.594425594098907232e+09,1.830000000000000000e+02,3.389115722656250000e+03
1.594425701113823175e+09,1.840000000000000000e+02,3.391366943359375000e+03
1.594425809334194899e+09,1.850000000000000000e+02,3.393774658203125000e+03
1.594425917091694832e+09,1.860000000000000000e+02,3.396917236328125000e+03
1.594426024981448889e+09,1.870000000000000000e+02,3.399984619140625000e+03
1.594426131521082640e+09,1.880000000000000000e+02,3.403125000000000000e+03
1.594426239326817751e+09,1.890000000000000000e+02,3.406482910156250000e+03
1.594426347614006042e+09,1.900000000000000000e+02,3.409264160156250000e+03
1.594426455002986193e+09,1.910000000000000000e+02,3.411279785156250000e+03
1.594426563685167313e+09,1.920000000000000000e+02,3.414096191406250000e+03
1.594426670656579256e+09,1.930000000000000000e+02,3.417009277343750000e+03
1.594426778065232277e+09,1.940000000000000000e+02,3.419243408203125000e+03
1.594426885814723730e+09,1.950000000000000000e+02,3.422032226562500000e+03
1.594426993610586882e+09,1.960000000000000000e+02,3.424177246093750000e+03
1.594427101052377939e+09,1.970000000000000000e+02,3.426521728515625000e+03
1.594427209122235537e+09,1.980000000000000000e+02,3.428914306640625000e+03
1.594427315208029032e+09,1.990000000000000000e+02,3.432192871093750000e+03
1.594427422386660337e+09,2.000000000000000000e+02,3.434232666015625000e+03
