Wall Time, Step, Value
1.594474783952910662e+09,1.010000000000000000e+02,2.730053466796875000e+03
1.594474864840328455e+09,1.020000000000000000e+02,4.117589355468750000e+03
1.594474945285743952e+09,1.030000000000000000e+02,4.627123535156250000e+03
1.594475025763674736e+09,1.040000000000000000e+02,4.890695800781250000e+03
1.594475106114065409e+09,1.050000000000000000e+02,5.044900390625000000e+03
1.594475186709990263e+09,1.060000000000000000e+02,5.140398437500000000e+03
1.594475266105066538e+09,1.070000000000000000e+02,5.200988281250000000e+03
1.594475347720319033e+09,1.080000000000000000e+02,5.242022460937500000e+03
1.594475427835366488e+09,1.090000000000000000e+02,5.269035156250000000e+03
1.594475509356635809e+09,1.100000000000000000e+02,5.287683105468750000e+03
1.594475588891858339e+09,1.110000000000000000e+02,5.301208984375000000e+03
1.594475669555428267e+09,1.120000000000000000e+02,5.310946289062500000e+03
1.594475750539600372e+09,1.130000000000000000e+02,5.318423828125000000e+03
1.594475831010726929e+09,1.140000000000000000e+02,5.324154296875000000e+03
1.594475912267818689e+09,1.150000000000000000e+02,5.328906250000000000e+03
1.594475992698969841e+09,1.160000000000000000e+02,5.333128417968750000e+03
1.594476073470843315e+09,1.170000000000000000e+02,5.336869628906250000e+03
1.594476154654007196e+09,1.180000000000000000e+02,5.340357421875000000e+03
1.594476236273178816e+09,1.190000000000000000e+02,5.343354492187500000e+03
1.594476317175724030e+09,1.200000000000000000e+02,5.346667480468750000e+03
1.594476397739087820e+09,1.210000000000000000e+02,5.349630859375000000e+03
1.594476478297202826e+09,1.220000000000000000e+02,5.352469726562500000e+03
1.594476559265567064e+09,1.230000000000000000e+02,5.354710449218750000e+03
1.594476640806388140e+09,1.240000000000000000e+02,5.357166992187500000e+03
1.594476721552637339e+09,1.250000000000000000e+02,5.359977539062500000e+03
1.594476801602839231e+09,1.260000000000000000e+02,5.362698242187500000e+03
1.594476881669134855e+09,1.270000000000000000e+02,5.365344238281250000e+03
1.594476962545838356e+09,1.280000000000000000e+02,5.368176757812500000e+03
1.594477043196949720e+09,1.290000000000000000e+02,5.370110351562500000e+03
1.594477123020405769e+09,1.300000000000000000e+02,5.373136718750000000e+03
1.594477204315367460e+09,1.310000000000000000e+02,5.375216796875000000e+03
1.594477285132453680e+09,1.320000000000000000e+02,5.377735351562500000e+03
1.594477365545511484e+09,1.330000000000000000e+02,5.380288085937500000e+03
1.594477445967664957e+09,1.340000000000000000e+02,5.382814941406250000e+03
1.594477525964593649e+09,1.350000000000000000e+02,5.385364257812500000e+03
1.594477606842675447e+09,1.360000000000000000e+02,5.387672851562500000e+03
1.594477686973480940e+09,1.370000000000000000e+02,5.390164550781250000e+03
1.594477766698007345e+09,1.380000000000000000e+02,5.392088378906250000e+03
1.594477847975692034e+09,1.390000000000000000e+02,5.394909667968750000e+03
1.594477929125387192e+09,1.400000000000000000e+02,5.396926757812500000e+03
1.594478009489155054e+09,1.410000000000000000e+02,5.399551757812500000e+03
1.594478090150332212e+09,1.420000000000000000e+02,5.401823730468750000e+03
1.594478171098138571e+09,1.430000000000000000e+02,5.404023437500000000e+03
